,0,1,2,3,4,5,6
0,Balance Sheet of Bandhan Bank (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,EQUITIES AND LIABILITIES,,,,,,
3,SHAREHOLDER'S FUNDS,,,,,,
4,Equity Share Capital,1610.60,1610.25,1193.08,1192.80,1095.14,
5,Total Share Capital,1610.60,1610.25,1193.08,1192.80,1095.14,
6,Revaluation Reserve,0.00,0.00,0.00,0.00,0.00,
7,Reserves and Surplus,15797.58,13585.21,10008.66,8189.14,3351.31,
8,Total Reserves and Surplus,15797.58,13585.21,10008.66,8189.14,3351.31,
9,Total ShareHolders Funds,17408.18,15195.46,11201.75,9381.95,4446.46,
10,Deposits,77972.22,57081.50,43231.62,33869.00,23228.66,
11,Borrowings,16960.36,16379.18,521.35,285.00,1028.94,
12,Other Liabilities and Provisions,2652.29,3061.66,1486.99,774.11,1532.04,
13,Total Capital and Liabilities,114993.05,91717.80,56441.71,44310.06,30236.09,
14,ASSETS,,,,,,
15,Cash and Balances with Reserve Bank of India,5235.39,6344.91,3879.15,2837.07,6012.07,
16,Balances with Banks Money at Call and Short Notice,957.56,2008.00,1923.50,2673.52,1352.93,
17,Investments,25155.39,15351.77,10037.48,8371.94,5516.49,
18,Advances,81612.88,66629.95,39643.39,29713.04,16839.08,
19,Fixed Assets,486.71,368.77,331.20,238.13,251.79,
20,Other Assets,1545.13,1014.41,626.98,476.37,263.74,
21,Total Assets,114993.05,91717.80,56441.71,44310.06,30236.09,
22,OTHER ADDITIONAL INFORMATION,,,,,,
23,Number of Branches,0.00,1018.00,986.00,936.00,0.00,
24,Number of Employees,0.00,39750.00,32342.00,28159.00,0.00,
25,Capital Adequacy Ratios (%),0.23,27.00,29.00,31.00,0.00,
26,KEY PERFORMANCE INDICATORS,,,,,,
27,Tier 1 (%),0.00,25.00,28.00,30.00,0.00,
28,Tier 2 (%),0.00,2.00,1.00,1.00,0.00,
29,ASSETS QUALITY,,,,,,
30,Gross NPA,5757.76,992.78,819.56,373.14,0.00,
31,Gross NPA (%),0.00,1.00,2.00,1.00,0.00,
32,Net NPA,2861.03,389.40,228.32,172.90,0.00,
33,Net NPA (%),0.04,0.58,0.58,1.00,0.00,
34,Net NPA To Advances (%),0.00,1.00,1.00,1.00,0.00,
35,"CONTINGENT LIABILITIES, COMMITMENTS",,,,,,
36,Bills for Collection,0.00,0.00,0.17,0.00,0.00,
37,Contingent Liabilities,0.00,466.58,120.94,76.24,3.63,
