,0,1,2,3,4,5,6
0,Balance Sheet of DCB Bank (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,EQUITIES AND LIABILITIES,,,,,,
3,SHAREHOLDER'S FUNDS,,,,,,
4,Equity Share Capital,311.49,310.42,309.55,308.08,285.36,
5,Total Share Capital,311.49,310.42,309.55,308.08,285.36,
6,Revaluation Reserve,0.00,237.39,244.38,250.44,256.50,
7,Reserves and Surplus,3447.10,2873.37,2560.52,2247.90,1661.43,
8,Total Reserves and Surplus,3447.10,3110.76,2804.90,2498.34,1917.94,
9,Total ShareHolders Funds,3758.59,3422.15,3115.60,2807.83,2204.88,
10,Deposits,29703.86,30369.93,28435.11,24006.86,19289.21,
11,Borrowings,4482.25,3407.95,2723.20,1926.71,1275.81,
12,Other Liabilities and Provisions,1657.43,1305.11,1517.91,1480.69,1276.48,
13,Total Capital and Liabilities,39602.13,38505.14,35791.83,30222.09,24046.38,
14,ASSETS,,,,,,
15,Cash and Balances with Reserve Bank of India,1182.89,1029.80,1317.22,1136.39,858.30,
16,Balances with Banks Money at Call and Short Notice,1856.45,2516.07,1476.16,1235.59,334.16,
17,Investments,8413.69,7741.50,7844.09,6218.96,5817.94,
18,Advances,25959.24,25345.29,23568.00,20336.69,15817.63,
19,Fixed Assets,568.51,545.87,525.98,494.02,488.57,
20,Other Assets,1621.35,1326.60,1060.39,800.44,729.77,
21,Total Assets,39602.13,38505.14,35791.83,30222.09,24046.38,
22,OTHER ADDITIONAL INFORMATION,,,,,,
23,Number of Branches,0.00,336.00,333.00,318.00,262.00,
24,Number of Employees,0.00,6845.00,6134.00,5790.00,4979.00,
25,Capital Adequacy Ratios (%),19.67,17.75,17.00,16.00,14.00,
26,KEY PERFORMANCE INDICATORS,,,,,,
27,Tier 1 (%),0.00,13.90,13.00,13.00,12.00,
28,Tier 2 (%),0.00,3.85,4.00,4.00,2.00,
29,ASSETS QUALITY,,,,,,
30,Gross NPA,1083.44,631.51,439.48,369.03,254.20,
31,Gross NPA (%),4.00,2.00,2.00,2.00,2.00,
32,Net NPA,594.15,293.51,153.77,146.72,124.41,
33,Net NPA (%),2.29,1.16,1.00,1.00,1.00,
34,Net NPA To Advances (%),1.00,1.00,1.00,1.00,1.00,
35,"CONTINGENT LIABILITIES, COMMITMENTS",,,,,,
36,Bills for Collection,0.00,431.99,392.30,409.32,434.53,
37,Contingent Liabilities,0.00,4814.75,3185.93,6948.35,2629.74,
