,0,1,2,3,4,5,6
0,Balance Sheet of ICICI Bank (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,EQUITIES AND LIABILITIES,,,,,,
3,SHAREHOLDER'S FUNDS,,,,,,
4,Equity Share Capital,1386.51,1294.76,1289.46,1285.81,1165.11,
5,Total Share Capital,1386.51,1294.76,1289.46,1285.81,1165.11,
6,Revaluation Reserve,0.00,3114.87,3044.51,3003.19,3042.14,
7,Reserves and Surplus,146122.67,112091.29,104029.40,100864.37,95737.57,
8,Total Reserves and Surplus,146122.67,115206.16,107073.91,103867.56,98779.71,
9,Total ShareHolders Funds,147509.18,116504.41,108368.04,105158.94,99951.07,
10,Deposits,932522.16,770968.99,652919.67,560975.21,490039.06,
11,Borrowings,91630.96,162896.76,165319.97,182858.62,147556.15,
12,Other Liabilities and Provisions,58770.38,47994.99,37851.46,30196.40,34245.16,
13,Total Capital and Liabilities,1230432.68,1098365.15,964459.15,879189.16,771791.45,
14,ASSETS,,,,,,
15,Cash and Balances with Reserve Bank of India,46031.19,35283.96,37858.01,33102.38,31702.41,
16,Balances with Banks Money at Call and Short Notice,87097.06,83871.78,42438.27,51067.00,44010.66,
17,Investments,281286.54,249531.48,207732.68,202994.18,161506.55,
18,Advances,733729.09,645289.97,586646.58,512395.29,464232.08,
19,Fixed Assets,8877.58,8410.29,7931.43,7903.51,7805.21,
20,Other Assets,73411.22,75977.67,81852.17,71726.80,62534.55,
21,Total Assets,1230432.68,1098365.15,964459.15,879189.16,771791.45,
22,OTHER ADDITIONAL INFORMATION,,,,,,
23,Number of Branches,0.00,5324.00,4874.00,4867.00,4850.00,
24,Number of Employees,0.00,99319.00,86763.00,82724.00,82841.00,
25,Capital Adequacy Ratios (%),0.17,16.00,17.00,18.00,17.00,
26,KEY PERFORMANCE INDICATORS,,,,,,
27,Tier 1 (%),0.00,15.00,15.00,16.00,14.00,
28,Tier 2 (%),0.00,1.00,2.00,3.00,3.00,
29,ASSETS QUALITY,,,,,,
30,Gross NPA,41373.42,40829.09,45676.04,53240.18,42159.39,
31,Gross NPA (%),0.00,6.00,7.00,0.00,9.00,
32,Net NPA,9180.20,9923.24,13449.72,27823.56,25216.81,
33,Net NPA (%),0.01,1.54,2.29,5.00,5.00,
34,Net NPA To Advances (%),0.00,2.00,2.00,5.00,5.00,
35,"CONTINGENT LIABILITIES, COMMITMENTS",,,,,,
36,Bills for Collection,0.00,48216.24,49391.99,28588.36,22623.19,
37,Contingent Liabilities,0.00,2523825.80,1922038.29,1289244.00,1030993.71,
