,0,1,2,3,4,5,6
0,Balance Sheet of Union Bank of India (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,EQUITIES AND LIABILITIES,,,,,,
3,SHAREHOLDER'S FUNDS,,,,,,
4,Equity Share Capital,3422.82,1763.02,1168.57,687.44,687.44,
5,Total Share Capital,3422.82,1763.02,1168.57,687.44,687.44,
6,Revaluation Reserve,3174.15,2234.81,0.00,0.00,2581.24,
7,Reserves and Surplus,27188.68,22489.18,23928.20,22747.76,19622.53,
8,Total Reserves and Surplus,30362.83,24723.99,23928.20,22747.76,22203.77,
9,Total ShareHolders Funds,33785.64,26487.01,25096.77,23435.20,22891.21,
10,Deposits,450668.45,415915.27,408501.64,378391.58,342720.01,
11,Borrowings,52486.25,42863.82,45680.77,41225.87,30957.35,
12,Other Liabilities and Provisions,13742.92,8772.74,8126.82,9110.79,8127.33,
13,Total Capital and Liabilities,550683.27,494038.84,487406.00,452704.44,404695.90,
14,ASSETS,,,,,,
15,Cash and Balances with Reserve Bank of India,20118.30,20796.46,21016.47,16520.45,15604.72,
16,Balances with Banks Money at Call and Short Notice,34987.92,22249.51,28424.73,16302.05,13671.50,
17,Investments,152413.90,126046.64,123780.12,112148.96,89208.35,
18,Advances,315049.41,296932.15,288760.58,286466.58,267354.00,
19,Fixed Assets,4762.52,3762.29,3833.33,3894.42,3939.87,
20,Other Assets,23351.23,24251.78,21590.76,17371.99,14917.46,
21,Total Assets,550683.27,494038.84,487406.00,452704.44,404695.90,
22,OTHER ADDITIONAL INFORMATION,,,,,,
23,Number of Branches,4284.00,4292.00,4297.00,4282.00,4200.00,
24,Number of Employees,37318.00,37262.00,37587.00,36877.00,35473.00,
25,Capital Adequacy Ratios (%),13.00,12.00,12.00,12.00,11.00,
26,KEY PERFORMANCE INDICATORS,,,,,,
27,Tier 1 (%),11.00,9.00,9.00,9.00,8.00,
28,Tier 2 (%),2.00,2.00,2.00,3.00,2.00,
29,ASSETS QUALITY,,,,,,
30,Gross NPA,49085.30,48729.00,33712.00,33712.28,24170.89,
31,Gross NPA (%),14.00,15.00,16.00,11.00,9.00,
32,Net NPA,17303.14,20332.00,24326.00,18833.00,14025.94,
33,Net NPA (%),5.49,6.85,8.00,7.00,5.00,
34,Net NPA To Advances (%),5.00,7.00,8.00,7.00,5.00,
35,"CONTINGENT LIABILITIES, COMMITMENTS",,,,,,
36,Bills for Collection,21682.69,19441.23,18427.09,16119.40,42490.45,
37,Contingent Liabilities,188202.36,198405.70,241572.92,231600.86,366256.29,
