,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"18 May, 2021",Acquisition -  ESOP,Koti Srinivas Rao,Designated Person,Qty 19224,Price 115,% Traded 0.00,Post Tnx Hold. 0%
1,"26 Mar, 2021",Acquisition -  Market Purchase,Ankesh Amin,Designated Person,Qty 2000,Price 134.01,% Traded 0.00,Post Tnx Hold. 0%
2,"26 Mar, 2021",Acquisition -  Market Purchase,Ankesh Amin,Designated Person,Qty 2000,Price 126.37,% Traded 0.00,Post Tnx Hold. 0%
3,"26 Mar, 2021",Acquisition -  ESOP,Sanjay Kumar Miranka,Designated Person,Qty 46440,Price 115,% Traded 0.00,Post Tnx Hold. 0%
4,"26 Mar, 2021",Acquisition -  ESOP,Loveleen Sahrawat,Designated Person,Qty 32460,Price 110.15,% Traded 0.00,Post Tnx Hold. 0%
5,"26 Mar, 2021",Acquisition -  ESOP,Nitin Hebbar,Designated Person,Qty 10000,Price 115,% Traded 0.00,Post Tnx Hold. 0%
6,"02 Mar, 2020", Preferential Basis,Grasim Industries Ltd & PACs,,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 69.1%
7,"18 Oct, 2019",Acquisition -  Preferential Basis,Grasim Industries Ltd & PACs,Promoter,Qty 100000000,Price 0,% Traded 4.32,Post Tnx Hold. 72.11%
8,"12 Jul, 2019", -,Birla Group Holdings Pvt Ltd,Other,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 0%
9,"10 Jul, 2019",Acquisition -  Scheme Of Amalgamation,Birla Group Holdings Pvt Ltd,Promoter,Qty 167337978,Price 0,% Traded 7.60,Post Tnx Hold. 7.95%
10,"10 Jul, 2019",Acquisition -  Scheme Of Amalgamation,Birla Group Holdings Pvt Ltd,Promoter,Qty 167337978,Price 0,% Traded 7.60,Post Tnx Hold. 7.95%
11,"03 Oct, 2018",Acquisition -  Market,Pilani Investment And Industries Corporation Ltd,Promoter,Qty 1677965,Price 0,% Traded 0.08,Post Tnx Hold. 1.52%
