,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"31 Oct, 2018",Disposal -  Market Sale,Shailesh V. Haribhakti,Director,Qty 3100,Price 1344.35,% Traded 0.00,Post Tnx Hold. 0%
1,"28 Mar, 2018",Disposal -  ESOP,Sinora Rodrigues,Employee,Qty 800,Price 1512.26,% Traded 0.00,Post Tnx Hold. 0%
2,"16 Nov, 2016",Acquisition -  Market,Holderind Investments Ltd,Promoter,Qty 7870000,Price 1551.52,% Traded 4.19,Post Tnx Hold. 4.48%
3,"03 Oct, 2016",Acquisition -  Market,Shailesh V Haribakti,Director,Qty 3100,Price 1602.92,% Traded 0.00,Post Tnx Hold. 0%
4,"25 May, 2016",Acquisition -  Market,Holcim India  Pvt Ltd,Promoter,Qty 96000,Price 1423.97,% Traded 0.05,Post Tnx Hold. 50.05%
5,"26 Mar, 2019",Disposal -  Market,Life Insurance Corporation of India,Other,Qty 5835083,Price 0,% Traded 3.10,Post Tnx Hold. 6.78%
6,"02 Feb, 2019",Disposal -  Market Sale,Life Insurance Corporation of India,Other,Qty 3835570,Price 0,% Traded 2.04,Post Tnx Hold. 9.88%
7,"15 Nov, 2016",Acquisition -  Market,Holderind Investments Ltd,Promoter,Qty 7870000,Price 0,% Traded 4.19,Post Tnx Hold. 54.53%
8,"12 Aug, 2016",Acquisition -  Merger,Ambuja Cements Ltd & PACs,Promoter,Qty 93984120,Price 0,% Traded 50.05,Post Tnx Hold. 50.34%
9,"12 Aug, 2016",Acquisition -  Scheme Of Amalgamation,Ambuja Cements Ltd & PACs,Promoter,Qty 93984120,Price 0,% Traded 50.05,Post Tnx Hold. 50.05%
10,"14 Dec, 2015",Acquisition -  Market,Life Insurance Corporation of India,Other,Qty 3789228,Price 0,% Traded 2.01,Post Tnx Hold. 11.93%
