,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"02 Jun, 2021",Disposal -  Market Sale,Jay Manilal Savla,Promoter Group,Qty 2394,Price 727.13,% Traded 0.00,Post Tnx Hold. 0.34%
1,"02 Jun, 2021",Disposal -  Market Sale,Jay Manilal Savla,Promoter Group,Qty 5000,Price 727.09,% Traded 0.01,Post Tnx Hold. 0.34%
2,"24 May, 2021",Disposal -  Buy Back,Paridhi Business Trust,Promoter Group,Qty 4378,Price 1000,% Traded 0.00,Post Tnx Hold. 0.64%
3,"24 May, 2021",Disposal -  Buy Back,Dilesh Roadlines Private Limited,Promoter Group,Qty 3648,Price 1000,% Traded 0.00,Post Tnx Hold. 0.53%
4,"24 May, 2021",Disposal -  Buy Back,Tulip Family Trust,Promoter Group,Qty 6860,Price 1000,% Traded 0.01,Post Tnx Hold. 1%
5,"24 May, 2021",Disposal -  Buy Back,Orchid Family Trust,Promoter Group,Qty 6772,Price 1000,% Traded 0.01,Post Tnx Hold. 0.99%
6,"19 Jun, 2020",Disposal -  Market,Rajendra Vallabhaji Gogri & Others,Promoter,Qty 252590,Price 0,% Traded 1.08,Post Tnx Hold. 60.55%
7,"21 Nov, 2019",Acquisition -  -,Seema Harshit Savla,Other,Qty 250733,Price 0,% Traded 1.08,Post Tnx Hold. 0%
8,"21 Nov, 2019",Acquisition -  Market / Inter-se Transfer,Seema Harshit Savla & Others,Promoter,Qty 340192,Price 0,% Traded 1.46,Post Tnx Hold. 61.63%
9,"07 Nov, 2019",Acquisition -  ,Seema Harshit Savla,Promoter,Qty 250733,Price 0,% Traded 1.08,Post Tnx Hold. 0%
10,"21 Aug, 2019",Disposal -  Off Market,Aarti Industries Ltd & Others,Promoter,Qty 485291,Price 0,% Traded 2.08,Post Tnx Hold. 60.17%
11,"10 Jul, 2019",Disposal -  Market,Aashyav Business Trust & PACs,Promoter,Qty 207259,Price 0,% Traded 0.14,Post Tnx Hold. 62.25%
