,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"01 Jun, 2021",Disposal -  Market Sale,NIKHIL HOLDINGS PRIVATE LIMITED,Promoter Group,Qty 36000,Price 1668.98,% Traded 0.02,Post Tnx Hold. 0.24%
1,"01 Jun, 2021",Disposal -  Market Sale,Shreya Suneja,Promoter,Qty 5000,Price 1655.11,% Traded 0.00,Post Tnx Hold. 0.15%
2,"01 Jun, 2021",Disposal -  Market Sale,Shreya Suneja,Promoter,Qty 5000,Price 1667.71,% Traded 0.00,Post Tnx Hold. 0.14%
3,"27 May, 2021",Disposal -  Market Sale,PARIMAL HASMUKHLAL DESAI,Promoter,Qty 30000,Price 1664.7,% Traded 0.02,Post Tnx Hold. 0.34%
4,"27 May, 2021",Disposal -  Market Sale,PARIMAL HASMUKHLAL DESAI,Promoter,Qty 15000,Price 1661.61,% Traded 0.01,Post Tnx Hold. 0.33%
5,"27 May, 2021",Disposal -  Market Sale,NIKHIL PARIMAL DESAI,Promoter Group,Qty 20000,Price 1662.06,% Traded 0.01,Post Tnx Hold. 0.88%
6,"05 Apr, 2021",Disposal -  Market/off Market/ Gift,Jasmine Family Trust & Others,Promoter,Qty 586042,Price 0,% Traded 0.34,Post Tnx Hold. 47.04%
7,"20 Jan, 2021",Disposal -  Market,HDFC Mutual Fund,Other,Qty 150000,Price 0,% Traded 0.08,Post Tnx Hold. 5.08%
8,"18 Dec, 2020",Disposal -  Market / Gift,Chandrakant Vallabhaji Gogri & Others,Promoter,Qty 2650307,Price 0,% Traded 1.52,Post Tnx Hold. 47.38%
9,"19 Nov, 2020",Disposal -  Market,HDFC Mutual Fund,Other,Qty 6770093,Price 0,% Traded 2.00,Post Tnx Hold. 0%
