,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"02 Mar, 2020",Acquisition -  Market Purchase,Total Holdings SAS,Promoter,Qty 411331145,Price 125.24,% Traded 37.40,Post Tnx Hold. 37.4%
1,"02 Mar, 2020",Disposal -  Market Sale,Gautam S. Adani and Rajesh S. Adani on behalf of S. B. Adani Family Trust,Promoter Group,Qty 217402326,Price 124.79,% Traded 19.77,Post Tnx Hold. 36.58%
2,"02 Mar, 2020",Disposal -  Market Sale,Adani Tradeline LLP,Promoter Group,Qty 99491719,Price 124.79,% Traded 9.05,Post Tnx Hold. 0%
3,"02 Mar, 2020",Disposal -  Market Sale,Worldwide Emerging Market Holding Limited,Promoter Group,Qty 30249700,Price 124.79,% Traded 2.75,Post Tnx Hold. 0%
4,"02 Mar, 2020",Disposal -  Market Sale,Universal Trade and Investments Limited,Promoter Group,Qty 30249700,Price 124.93,% Traded 2.75,Post Tnx Hold. 0%
5,"02 Mar, 2020",Disposal -  Market Sale,Afro Asia Trade and Investments Limited,Promoter Group,Qty 30249700,Price 124.79,% Traded 2.75,Post Tnx Hold. 0%
6,"02 Mar, 2020",Disposal -  Market,Gautam S Adani & Rajesh S Adani & Others,Promoter,Qty 411331145,Price 0,% Traded 37.40,Post Tnx Hold. 36.58%
7,"28 Feb, 2020",Acquisition -  Market,Total Holdings SAS,Promoter,Qty 411331145,Price 0,% Traded 37.40,Post Tnx Hold. 37.4%
8,"29 Jan, 2020",Acquisition -  -,Acropolis Trade and Investments Ltd & Others,Other,Qty 90749100,Price 0,% Traded 8.25,Post Tnx Hold. 0%
9,"25 Feb, 2019",Acquisition -  -,Flourishing Trade & Investment Ltd,Other,Qty 3688000,Price 0,% Traded 0.34,Post Tnx Hold. 0%
