,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"01 Jun, 2021", Revocation Of Pledge,Adani Tradeline LLP (earlier known as Parsa Kente Rail Infra LLP),Promoter Group,Qty 8800000,Price 1473.6,% Traded 0.80,Post Tnx Hold. 9.05%
1,"01 Jun, 2021", Revocation Of Pledge,Gautam S Adani / Rajesh S Adani (on behalf of S.B. Adani Family Trust),Promoter Group,Qty 4929700,Price 1473.6,% Traded 0.45,Post Tnx Hold. 56.48%
2,"31 May, 2021", Revocation Of Pledge,Adani Tradeline LLP (earlier known as Parsa Kente Rail Infra LLP),Promoter Group,Qty 360000,Price 1445,% Traded 0.03,Post Tnx Hold. 9.05%
3,"29 May, 2021", Revocation Of Pledge,Gautam S Adani / Rajesh S Adani (on behalf of S.B. Adani Family Trust),Promoter Group,Qty 1500000,Price 1439.8,% Traded 0.14,Post Tnx Hold. 56.48%
4,"27 May, 2021", Revocation Of Pledge,Gautam S Adani / Rajesh S Adani (on behalf of S.B. Adani Family Trust),Promoter Group,Qty 4050000,Price 1392.54,% Traded 0.37,Post Tnx Hold. 56.48%
5,"26 May, 2021", Revocation Of Pledge,Gautam S Adani / Rajesh S Adani (on behalf of S.B. Adani Family Trust),Promoter Group,Qty 350000,Price 1450.29,% Traded 0.03,Post Tnx Hold. 56.48%
6,"02 Jun, 2021", Release of Shares,Vistra ITCL (India) Ltd,Other,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 0%
7,"01 Mar, 2021", Release of Shares,SBICAP Trustee Company Ltd,Other,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 0%
8,"10 Feb, 2021", Pledge / Revoke,Vistra ITCL (India) Ltd,Other,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 0%
9,"27 Jan, 2021", Release of Shares,Catalyst Trusteeship Ltd,Other,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 0%
10,"15 Jan, 2021", Release of Shares,SBICAP Trustee Company Ltd,Other,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 0%
11,"21 Dec, 2020",Acquisition -  ,Fortitude Trade & Investment Ltd,Promoter,Qty 30249700,Price 0,% Traded 2.75,Post Tnx Hold. 0%
