,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"16 Feb, 2021",Acquisition -  Others,SUDHIR OMPRAKASH MALHOTRA,Designated Person,Qty 5000000,Price 1,% Traded 1.45,Post Tnx Hold. 4.42%
1,"16 Feb, 2021",Acquisition -  Others,MURAD MOHDMUSEIN MOLEDINA,Designated Person,Qty 666666,Price 1,% Traded 0.19,Post Tnx Hold. 0.57%
2,"24 Aug, 2020",Acquisition -  Others,SUDHIR OMPRAKASH MALHOTRA,Designated Person,Qty 5000000,Price 1,% Traded 1.47,Post Tnx Hold. 3.05%
3,"24 Aug, 2020",Acquisition -  Others,MURAD MOHDMUSEIN MOLEDINA,Designated Person,Qty 666667,Price 1,% Traded 0.20,Post Tnx Hold. 0.39%
4,"02 Apr, 2020",Acquisition -  Market Purchase,TRANS ASIA PETROLEUM INC.,Promoter,Qty 337948,Price 135.54,% Traded 0.10,Post Tnx Hold. 26.94%
5,"01 Oct, 2019",Acquisition -  Market Purchase,SUDHIR OMPRAKASH MALHOTRA,Designated Person,Qty 25814,Price 179.74,% Traded 0.01,Post Tnx Hold. 1.62%
6,"02 Apr, 2020",Acquisition -  Market,Trans Asia Petroleum Inc.,Promoter,Qty 337948,Price 0,% Traded 0.10,Post Tnx Hold. 59.67%
7,"28 Aug, 2018",Acquisition -  Market,Trans Asia Petroleum Inc & Others,Promoter,Qty 241970,Price 0,% Traded 0.07,Post Tnx Hold. 60.58%
8,"02 Sep, 2016",Disposal -  Market,Infrastructure India Holdings Fund LLC,,Qty 1000000,Price 0,% Traded 0.30,Post Tnx Hold. 3.06%
9,"02 Sep, 2016",Disposal -  Market,Infrastructure India Holdings Fund LLC,,Qty 7500000,Price 0,% Traded 2.24,Post Tnx Hold. 0.81%
10,"01 Sep, 2016",Disposal -  Market,Infrastructure India Holdings Fund LLC,,Qty 4000000,Price 0,% Traded 1.20,Post Tnx Hold. 3.36%
11,"29 Aug, 2016",Disposal -  Market,Infrastructure India Holdings Fund LLC,,Qty 1474064,Price 0,% Traded 0.44,Post Tnx Hold. 4.56%
