,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"24 Feb, 2021",Disposal -  Market Sale,Affle Holdings Pte. Ltd.,Promoter,Qty 306826,Price 5240.66,% Traded 1.20,Post Tnx Hold. 46.84%
1,"18 Feb, 2021",Acquisition -  Market Purchase,Raghav Maheshwari,Designated Person,Qty 200,Price 5224.74,% Traded 0.00,Post Tnx Hold. 0%
2,"31 Dec, 2020",Acquisition -  Market Purchase,Samer Akhter,Designated Person,Qty 50,Price 3767.06,% Traded 0.00,Post Tnx Hold. 0%
3,"31 Dec, 2020",Acquisition -  Market Purchase,Shazia Jamal,Employees Immediate Relative,Qty 50,Price 3767.46,% Traded 0.00,Post Tnx Hold. 0%
4,"18 Dec, 2020",Disposal -  Market Sale,Affle Holdings Pte. Ltd.,Promoter,Qty 1166000,Price 3756.44,% Traded 4.57,Post Tnx Hold. 48.05%
5,"26 Nov, 2020",Acquisition -  Market Purchase,Vivek Narayan Gour,Director,Qty 14,Price 3370,% Traded 0.00,Post Tnx Hold. 0%
6,"06 May, 2021",Acquisition -  Qualified Institutional Placement (qip),Aberdeen Standard Investments (Asia) Ltd,Other,Qty 245139,Price 0,% Traded 0.96,Post Tnx Hold. 5.44%
7,"24 Feb, 2021",Disposal -  Market,Affle Holdings Pte. Ltd. (Singapore),Promoter,Qty 306826,Price 0,% Traded 1.20,Post Tnx Hold. 46.84%
8,"15 Feb, 2021",Disposal -  Market,Malabar India Fund Ltd,Other,Qty 580549,Price 0,% Traded 2.25,Post Tnx Hold. 4.99%
9,"15 Feb, 2021",Disposal -  Market,Malabar India Fund Ltd,Other,Qty 580549,Price 0,% Traded 2.25,Post Tnx Hold. 4.99%
10,"18 Dec, 2020",Disposal -  Market,Affle Holdings Pte. Ltd.,Promoter,Qty 1166000,Price 0,% Traded 4.57,Post Tnx Hold. 48.05%
11,"16 Dec, 2020",Disposal -  Market,Nippon Life India Trustee Ltd,Other,Qty 44993,Price 0,% Traded 0.17,Post Tnx Hold. 2.94%
