,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"31 May, 2021",Acquisition -  Gift,ANKITA VIJAY MARATHE,Employees Immediate Relative,Qty 300,Price 1968.7,% Traded 0.00,Post Tnx Hold. 0%
1,"31 May, 2021",Acquisition -  Gift,JAYESH VIJAY MARATHE,Employees Immediate Relative,Qty 300,Price 1968.7,% Traded 0.00,Post Tnx Hold. 0%
2,"31 May, 2021", Creation Of Pledge,ANKITA VIJAY MARATHE,Employees Immediate Relative,Qty 300,Price 1930.55,% Traded 0.00,Post Tnx Hold. 0%
3,"31 May, 2021", Creation Of Pledge,JAYESH VIJAY MARATHE,Employees Immediate Relative,Qty 300,Price 1930.55,% Traded 0.00,Post Tnx Hold. 0%
4,"31 May, 2021", Creation Of Pledge,KUSUM VIJAY MARATHE,Employees Immediate Relative,Qty 160,Price 1991.3,% Traded 0.00,Post Tnx Hold. 0%
5,"25 May, 2021",Disposal -  Gift,Vijay Marathe,Designated Person,Qty 300,Price 1933.4,% Traded 0.00,Post Tnx Hold. 0%
6,"11 Jul, 2017",Disposal -  Market,"Ganga Exports,a Partnership Firm",Promoter,Qty 2700000,Price 0,% Traded 3.07,Post Tnx Hold. 0.37%
7,"21 Nov, 2016",Acquisition -  -,Yogesh  M Agrawal & Rajesh M Agrawal,Other,Qty 2703360,Price 0,% Traded 3.08,Post Tnx Hold. 0%
8,"21 Nov, 2016",Disposal -  Inter-se Transfer,Yogesh M Agrawal & Rajesh M Agrawal,Promoter,Qty 2703360,Price 0,% Traded 1.53,Post Tnx Hold. 3.07%
9,"21 Nov, 2016",Disposal -  Inter-se Transfer,Yogesh M Agrawal & Rajesh M Agrawal,Promoter,Qty 2703360,Price 0,% Traded 3.07,Post Tnx Hold. 3.07%
10,"10 Nov, 2016",Acquisition -  ,Yogesh M Agrawal,Promoter,Qty 2703360,Price 0,% Traded 3.08,Post Tnx Hold. 0%
11,"26 Sep, 2016",Acquisition -  -,Yogesh M Agrawal,Other,Qty 30839779,Price 0,% Traded 35.06,Post Tnx Hold. 0%
