,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"20 May, 2020", Pledge Released,RNGALLA FAMILY PRIVATE LIMITED,Promoter,Qty 2840000,Price 572.82,% Traded 1.66,Post Tnx Hold. 28.06%
1,"09 Aug, 2019",Disposal -  Off Market,Johnson Controls Mauritius  Private Limited,Promoter,Qty 3416250,Price 653,% Traded 2.00,Post Tnx Hold. 0%
2,"09 Aug, 2019",Acquisition -  Off Market,RNGalla Family Private Limited,Promoter,Qty 3416250,Price 653,% Traded 2.00,Post Tnx Hold. 28.06%
3,"06 Aug, 2019", Creation Of Pledge,RNGalla Family Private Limited Revised,Promoter,Qty 2840000,Price 665.6,% Traded 1.66,Post Tnx Hold. 26.06%
4,"05 Aug, 2019", Creation Of Pledge,RNGalla Family Private Limited,Promoter,Qty 2840000,Price 665.6,% Traded 1.66,Post Tnx Hold. 26.06%
5,"30 Jul, 2019",Acquisition -  Off Market,RNGalla Family Private Limited,Promoter,Qty 3115500,Price 0,% Traded 1.82,Post Tnx Hold. 26.06%
6,"26 May, 2021",Disposal -  Block Trade,Clarios ARBL Holding LP,Other,Qty 17081250,Price 0,% Traded 10.00,Post Tnx Hold. 14%
7,"22 Apr, 2021",Acquisition -  Market,Life Insurance Corporation of India,Other,Qty 199500,Price 0,% Traded 0.12,Post Tnx Hold. 5.06%
8,"08 Aug, 2019",Disposal -  Off Market / Inter se transfer,RNGalla Family Pvt Ltd & PACs,Promoter,Qty 3416250,Price 0,% Traded 2.00,Post Tnx Hold. 28.06%
9,"30 Jul, 2019", -,RNGalla Family Pvt Ltd,Other,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 0%
10,"30 Jul, 2019",Disposal -  Sch.of Arrangement,Mangal Industries Ltd & PACs,Promoter,Qty 3115500,Price 0,% Traded 1.82,Post Tnx Hold. 28.06%
11,"30 Jul, 2019",Acquisition -  Sch.of Arrangement,RNGalla Family Pvt Ltd & PACs,Promoter,Qty 3115500,Price 0,% Traded 1.82,Post Tnx Hold. 28.06%
