,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"23 Dec, 2020",Disposal -  Off Market,Late Anant Bajaj,Promoter Group,Qty 666,Price 3118.1,% Traded 0.00,Post Tnx Hold. 0%
1,"23 Dec, 2020",Acquisition -  Inheritance,Kiran Bajaj,Promoter Group,Qty 333,Price 3118.1,% Traded 0.00,Post Tnx Hold. 0%
2,"23 Dec, 2020",Acquisition -  Inheritance,Pooja Bajaj,Promoter Group,Qty 333,Price 3118.1,% Traded 0.00,Post Tnx Hold. 0%
3,"13 Nov, 2020",Acquisition -  Market Purchase,Hercules Hoists Limited,Promoter Group,Qty 341,Price 2524.89,% Traded 0.00,Post Tnx Hold. 0.29%
4,"13 Nov, 2020",Acquisition -  Market Purchase,Hercules Hoists Limited,Promoter Group,Qty 4857,Price 2529.77,% Traded 0.00,Post Tnx Hold. 0.29%
5,"13 Nov, 2020",Acquisition -  Market Purchase,Hercules Hoists Limited,Promoter Group,Qty 4030,Price 2657.36,% Traded 0.00,Post Tnx Hold. 0.29%
6,"10 Oct, 2019",Acquisition -  Market,ACACIA Banyan Partners & Others,Other,Qty 311500,Price 0,% Traded 0.00,Post Tnx Hold. 0%
7,"27 Feb, 2019",Acquisition -  Market,Bajaj Auto Ltd & Others,Promoter,Qty 1986554,Price 0,% Traded 1.78,Post Tnx Hold. 11.25%
8,"05 Jan, 2019",Disposal -  Market,Franklin Templeton Investment Funds,,Qty 41389,Price 0,% Traded 0.04,Post Tnx Hold. 2.99%
9,"19 Nov, 2018",Acquisition -  Market,Bachhraj & Company Pvt Ltd & Others,Promoter,Qty 2327030,Price 0,% Traded 2.09,Post Tnx Hold. 45.06%
10,"11 Jan, 2018",Acquisition -  Off Market / Inter se transfer,Rahulkumar Bajaj,Promoter,Qty 2712349,Price 0,% Traded 2.42,Post Tnx Hold. 7.24%
11,"10 Jan, 2018",Acquisition -  Off Market / Inter se transfer,Niraj Bajaj & Others,Promoter,Qty 13567651,Price 0,% Traded 12.19,Post Tnx Hold. 16.38%
