,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"30 Mar, 2021",Acquisition -  Inter-se Transfer,RISHABH PODDAR,Promoter,Qty 1790180,Price 0,% Traded 0.93,Post Tnx Hold. 1.44%
1,"30 Mar, 2021",Disposal -  Inter-se Transfer,SHYAMLATA PODDAR,Promoter,Qty 1790180,Price 0,% Traded 0.93,Post Tnx Hold. 0%
2,"27 Mar, 2021",Acquisition -  Off Market / Inter se transfer,Rishabh Poddar,Promoter,Qty 1790180,Price 0,% Traded 0.93,Post Tnx Hold. 1.44%
3,"27 Mar, 2021",Disposal -  Off Market / Inter se transfer,Shyamlata Poddar,Promoter,Qty 1790180,Price 0,% Traded 0.93,Post Tnx Hold. 0%
4,"25 Sep, 2020",Disposal -  Inter-se Transfer / Gift,Rishabh Poddar,Promoter,Qty 1790180,Price 0,% Traded 0.93,Post Tnx Hold. 0.52%
5,"25 Sep, 2020",Acquisition -  Inter-se Transfer / Gift,Shyamlata Poddar,Promoter,Qty 1790180,Price 0,% Traded 0.93,Post Tnx Hold. 0.93%
6,"26 Mar, 2021",Acquisition -  ,Rishabh Poddar,,Qty 1790180,Price 0,% Traded 0.93,Post Tnx Hold. 0%
7,"26 Mar, 2021",Acquisition -  Inter-se Transfer,Rishabh Poddar,Promoter,Qty 1790180,Price 0,% Traded 0.93,Post Tnx Hold. 1.44%
8,"26 Mar, 2021",Acquisition -  Inter-se Transfer,Rishabh Poddar,Promoter,Qty 1790180,Price 0,% Traded 0.93,Post Tnx Hold. 1.44%
9,"26 Mar, 2021",Disposal -  Inter-se Transfer,Shyamlata Poddar,Promoter,Qty 1790180,Price 0,% Traded 0.93,Post Tnx Hold. 0%
10,"08 Dec, 2020",Acquisition -  ,Shri Rishabh Poddar,Promoter,Qty 1790180,Price 0,% Traded 1.44,Post Tnx Hold. 0%
11,"25 Sep, 2020",Disposal -  Inter-se Transfer,Rishabh Poddar,Promoter,Qty 1790180,Price 0,% Traded 0.93,Post Tnx Hold. 0.52%
