,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"25 May, 2021",Disposal -  Market Sale,JAYESH KALYANDAS GANGWANI,Designated Person,Qty 5200,Price 299,% Traded 0.00,Post Tnx Hold. 0.01%
1,"09 Apr, 2021", Invocation Of Pledged,DILIP DEVKARANBHAI DAFDA (Revised),Designated Person,Qty 9557,Price 204.72,% Traded 0.00,Post Tnx Hold. 0%
2,"09 Apr, 2021", Invocation Of Pledged,DILIP DEVKARANBHAI DAFDA (Revised),Designated Person,Qty 4300,Price 174.46,% Traded 0.00,Post Tnx Hold. 0%
3,"09 Apr, 2021", Invocation Of Pledged,DILIP DEVKARANBHAI DAFDA (Revised),Designated Person,Qty 3721,Price 174.46,% Traded 0.00,Post Tnx Hold. 0%
4,"12 Mar, 2021",Disposal -  Market Sale,SURESH SRINIVASAN IYER,Designated Person,Qty 1580,Price 356,% Traded 0.00,Post Tnx Hold. 0%
5,"12 Mar, 2021",Disposal -  Market Sale,SURESH SRINIVASAN IYER,Designated Person,Qty 16250,Price 358,% Traded 0.00,Post Tnx Hold. 0%
6,"04 Aug, 2020",Acquisition -  Market,Caladium Investment Pte Ltd,Other,Qty 46550500,Price 0,% Traded 2.89,Post Tnx Hold. 7.79%
7,"03 Aug, 2020",Disposal -  Market,Bandhan Financial Holdings Ltd,Promoter,Qty 337367189,Price 0,% Traded 20.95,Post Tnx Hold. 40%
8,"03 Aug, 2020",Disposal -  Market,Bandhan Financial Holdings Ltd (Revised),Other,Qty 337367189,Price 0,% Traded 20.95,Post Tnx Hold. 40%
9,"30 Oct, 2019",Acquisition -  Merger,Housing Development Finance Corporation Ltd,Other,Qty 159363149,Price 0,% Traded 9.89,Post Tnx Hold. 9.89%
