,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"12 Dec, 2019",Acquisition -  Preferential Offer,President of India,Promoter,Qty 651465798,Price 107.45,% Traded 16.91,Post Tnx Hold. 71.6%
1,"17 Jun, 2019",Acquisition -  Preferential Offer,President of India,Promoter,Qty 428559286,Price 117.65,% Traded 16.16,Post Tnx Hold. 69.23%
2,"25 Feb, 2019",Disposal -  Off Market,The President of India GoI,Promoter,Qty 12835716,Price 99.1,% Traded 0.48,Post Tnx Hold. 63.26%
3,"13 Jul, 2018",Disposal -  Off Market,President of India Revised,Promoter,Qty 7552410,Price 128.2,% Traded 0.28,Post Tnx Hold. 63.74%
4,"22 Jun, 2018",Disposal -  Off Market,President of India,Promoter,Qty 8426453,Price 128.2,% Traded 0.32,Post Tnx Hold. 63.71%
5,"07 Apr, 2018",Acquisition -  Preferential Offer,President of India,Promoter,Qty 341356534,Price 157.46,% Traded 12.87,Post Tnx Hold. 64.03%
6,"12 Dec, 2019",Acquisition -  Pref. Allotment,President of India (Government of India),Promoter,Qty 651465798,Price 0,% Traded 4.66,Post Tnx Hold. 71.6%
7,"12 Dec, 2019",Acquisition -  Pref. Allotment,President of India (Government of India) (Revised),Promoter,Qty 651465798,Price 0,% Traded 4.66,Post Tnx Hold. 71.6%
8,"17 Jun, 2019",Acquisition -  Pref. Allotment,President of India (Government of India),Promoter,Qty 428559286,Price 0,% Traded 3.86,Post Tnx Hold. 69.23%
9,"08 Apr, 2019",Acquisition -  Amalgamation,President of India (Government of India),Promoter,Qty 561161806,Price 0,% Traded 2.11,Post Tnx Hold. 65.37%
10,"31 Mar, 2018",Acquisition -  Pref. Allotment,Government of India,Promoter,Qty 341356534,Price 0,% Traded 5.33,Post Tnx Hold. 64.03%
11,"30 Jan, 2018",Disposal -  Market,Life Insurance Corporation of India,Other,Qty 46648268,Price 0,% Traded 2.02,Post Tnx Hold. 3.16%
