,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"27 Aug, 2020",Acquisition -  Pref. Allotment,President of India (Govt of India),Promoter,Qty 736049601,Price 11.29,% Traded 12.64,Post Tnx Hold. 93.33%
1,"01 Apr, 2019",Acquisition -  Pref. Allotment,President of India Govt of India,Promoter,Qty 154716981,Price 13.25,% Traded 5.95,Post Tnx Hold. 87.74%
2,"31 Mar, 2018",Acquisition -  Pref. Allotment,President of India Govt of India,Promoter,Qty 1218509984,Price 26.04,% Traded 46.89,Post Tnx Hold. 87.01%
3,"18 Aug, 2017",Acquisition -  Pref. Allotment,Govt of India,Promoter,Qty 88888888,Price 33.75,% Traded 3.42,Post Tnx Hold. 82.91%
4,"19 Oct, 2015",Acquisition -  Pref. Allotment,Govt of India,Promoter,Qty 105150787,Price 37.47,% Traded 4.05,Post Tnx Hold. 81.61%
5,"27 Aug, 2020",Acquisition -  Pref. Allotment,President of India (Govt. of India),Promoter,Qty 736049601,Price 0,% Traded 0.84,Post Tnx Hold. 93.33%
6,"01 Apr, 2019",Acquisition -  Pref. Allotment,President of India (Govt.of India),Promoter,Qty 154716981,Price 0,% Traded 0.73,Post Tnx Hold. 87.74%
7,"31 Mar, 2018",Acquisition -  Pref. Allotment,President of India (Govt. of India),Promoter,Qty 1218509984,Price 0,% Traded 11.47,Post Tnx Hold. 87.01%
8,"18 Aug, 2017",Acquisition -  Pref. Allotment,President of India (Govt. of India),Promoter,Qty 88888888,Price 0,% Traded 7.07,Post Tnx Hold. 82.91%
9,"19 Oct, 2015",Acquisition -  Pref. Allotment,President of India (Govt of India),Promoter,Qty 105150787,Price 0,% Traded 9.00,Post Tnx Hold. 81.61%
10,"15 Jul, 2014",Acquisition -  Pref. Allotment,President of India,Promoter,Qty 133363574,Price 0,% Traded 12.54,Post Tnx Hold. 79.8%
