,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"27 Nov, 2019",Acquisition -  Allotment,Bayer AG,Promoter Group,Qty 215856,Price 4212.8,% Traded 0.63,Post Tnx Hold. 8.43%
1,"22 Jan, 2019",Disposal -  null,The Executive Inn Ltd,Promoter,Qty 60000,Price 15.41,% Traded 0.17,Post Tnx Hold. 1.19%
2,"27 Sep, 2017",Disposal -  Buy Back,Bayer AG Leverkusen,Promoter,Qty 103803,Price 4900,% Traded 0.30,Post Tnx Hold. 10.41%
3,"27 Sep, 2017",Disposal -  Buy Back,Bayer SAS Lyon,Promoter,Qty 192294,Price 4900,% Traded 0.56,Post Tnx Hold. 19.28%
4,"27 Sep, 2017",Disposal -  Buy Back,Bayer Vapi Pvt Ltd,Promoter,Qty 208576,Price 4900,% Traded 0.61,Post Tnx Hold. 23.42%
5,"27 Sep, 2017",Disposal -  Buy Back,Bayer CropScience AG,Promoter,Qty 155563,Price 4900,% Traded 0.45,Post Tnx Hold. 15.59%
6,"28 Nov, 2019",Acquisition -  Scheme Of Amalgamation,"Monsanto Company,USA",Promoter,Qty 1544613,Price 0,% Traded 3.44,Post Tnx Hold. 3.44%
7,"27 Nov, 2019",Acquisition -  Scheme Of Amalgamation,Bayer AG,Promoter,Qty 215856,Price 0,% Traded 0.48,Post Tnx Hold. 8.43%
8,"27 Nov, 2019",Acquisition -  Scheme Of Amalgamation,"Monsanto Company,USA",Promoter,Qty 1544613,Price 0,% Traded 3.44,Post Tnx Hold. 3.44%
9,"27 Nov, 2019",Acquisition -  Scheme Of Amalgamation,Monsanto Investments India Pvt Ltd,Promoter,Qty 6758082,Price 0,% Traded 15.04,Post Tnx Hold. 15.04%
10,"27 Nov, 2019",Acquisition -  Scheme Of Amalgamation,Monsanto Investments India Pvt Ltd,Promoter,Qty 6758082,Price 0,% Traded 15.04,Post Tnx Hold. 15.04%
11,"23 Jan, 2019",Acquisition -  Market,Aditya Birla Sun Life Mutual Fund,Other,Qty 685765,Price 0,% Traded 2.00,Post Tnx Hold. 7.03%
