,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"01 Jun, 2021",Disposal -  Market Sale,KRISHNA KILAMBI SAI,Designated Person,Qty 3000,Price 807.31,% Traded 0.00,Post Tnx Hold. 0%
1,"01 Apr, 2021",Disposal -  Market Sale,Kaushik Ghosh,Designated Person,Qty 2661,Price 767.21,% Traded 0.00,Post Tnx Hold. 0%
2,"29 Mar, 2021",Disposal -  Market Sale,Vinod Menon,Designated Person,Qty 200,Price 757.15,% Traded 0.00,Post Tnx Hold. 0%
3,"26 Mar, 2021",Disposal -  Market Sale,Vinod Menon,Designated Person,Qty 200,Price 728.04,% Traded 0.00,Post Tnx Hold. 0%
4,"23 Mar, 2021",Disposal -  Market Sale,Vinod Menon,Designated Person,Qty 100,Price 725.1,% Traded 0.00,Post Tnx Hold. 0%
5,"19 Mar, 2021",Disposal -  Market Sale,Vinod Menon,Designated Person,Qty 200,Price 711.72,% Traded 0.00,Post Tnx Hold. 0%
6,"04 Sep, 2019",Acquisition -  Gift,Gurbachan Singh Dhingra,Promoter,Qty 2000000,Price 0,% Traded 0.21,Post Tnx Hold. 0.46%
7,"04 Sep, 2019",Acquisition -  Gift,Kanwardip Singh Dhingra,Promoter,Qty 100000,Price 0,% Traded 0.01,Post Tnx Hold. 0.07%
8,"04 Sep, 2019",Disposal -  Gift,Vinu Dhingra,Promoter,Qty 2100000,Price 0,% Traded 0.22,Post Tnx Hold. 0.4%
9,"07 Jun, 2019",Acquisition -  Market,Wang Investment & Finance Pvt Ltd,Promoter,Qty 175000,Price 0,% Traded 0.02,Post Tnx Hold. 3.09%
10,"29 Mar, 2017",Disposal -  Inter-se Transfer,GBS Dhingra Family Trust,Promoter,Qty 6500000,Price 0,% Traded 0.67,Post Tnx Hold. 0.61%
11,"29 Mar, 2017",Disposal -  Inter-se Transfer,KSD Family Trust,Promoter,Qty 6500000,Price 0,% Traded 0.67,Post Tnx Hold. 0.86%
