,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"17 Feb, 2021",Disposal -  Market Sale,SIVASANKARAN M,Designated Person,Qty 140,Price 551.6,% Traded 0.00,Post Tnx Hold. 0%
1,"17 Feb, 2021",Acquisition -  Market Purchase,SIVASANKARAN M,Designated Person,Qty 100,Price 603.8,% Traded 0.00,Post Tnx Hold. 0%
2,"17 Feb, 2021",Acquisition -  Market Purchase,SIVASANKARAN M,Designated Person,Qty 100,Price 605.06,% Traded 0.00,Post Tnx Hold. 0%
3,"17 Feb, 2021",Acquisition -  Market Purchase,SIVASANKARAN M,Designated Person,Qty 100,Price 609.69,% Traded 0.00,Post Tnx Hold. 0%
4,"17 Feb, 2021",Acquisition -  Market Purchase,SIVASANKARAN M,Designated Person,Qty 300,Price 622.38,% Traded 0.00,Post Tnx Hold. 0%
5,"17 Feb, 2021",Disposal -  Market Sale,SIVASANKARAN M,Designated Person,Qty 100,Price 646.19,% Traded 0.00,Post Tnx Hold. 0%
6,"17 Dec, 2020",Acquisition -  Market,Hermes Investment Management Ltd,Other,Qty 446787,Price 0,% Traded 0.09,Post Tnx Hold. 5%
7,"30 Sep, 2020", IndirectAcquisition,Babasaheb Kalyani Family Trust & PACs,Promoter,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 100%
8,"30 Sep, 2020", IndirectAcquisition,Babasaheb N Kalyani & PACs,Promoter,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 100%
9,"03 Aug, 2020",Acquisition -  Market,Life Insurance Corporation of India,Other,Qty 217591,Price 0,% Traded 0.04,Post Tnx Hold. 5%
10,"05 Jun, 2020",Acquisition -  Market,Hermes Investment Management Ltd,Other,Qty 288089,Price 0,% Traded 0.06,Post Tnx Hold. 5.04%
11,"04 Aug, 2017",Disposal -  Market,Life Insurance Corporation of India,Other,Qty 4761311,Price 0,% Traded 2.04,Post Tnx Hold. 4.98%
