,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"07 Apr, 2021",Acquisition -  ESOP,Vivek Manglik,Designated Person,Qty 12816,Price 192.84,% Traded 0.00,Post Tnx Hold. 0%
1,"07 Apr, 2021",Acquisition -  ESOP,Rakesh Kumar,Designated Person,Qty 3135,Price 193.39,% Traded 0.00,Post Tnx Hold. 0%
2,"07 Apr, 2021",Disposal -  Market Sale,Rakesh Kumar,Designated Person,Qty 2500,Price 516.75,% Traded 0.00,Post Tnx Hold. 0%
3,"24 Mar, 2021",Disposal -  Market Sale,Vidyut Gulati,Designated Person,Qty 1500,Price 600,% Traded 0.00,Post Tnx Hold. 0%
4,"24 Mar, 2021",Acquisition -  ESOP,Vidyut Gulati,Designated Person,Qty 1500,Price 208.79,% Traded 0.00,Post Tnx Hold. 0%
5,"28 Dec, 2020",Acquisition -  Market Purchase,Bharti Airtel Employee Welfare Trust,Other,Qty 1485758,Price 496.85,% Traded 0.03,Post Tnx Hold. 0.05%
6,"28 May, 2020",Disposal -  Market,Bharti Telecom Ltd & PAC,Promoter,Qty 150000000,Price 0,% Traded 2.75,Post Tnx Hold. 42.12%
7,"31 May, 2019",Acquisition -  Rights Issue,Pastel Ltd along with Viridian Ltd as person acting in concert with Pastel Ltd,Promoter,Qty 170096024,Price 0,% Traded 3.32,Post Tnx Hold. 15%
8,"31 May, 2019",Acquisition -  Rights Issue,Bharti Telecom Ltd & Indian Continent Investment Ltd,Promoter,Qty 363703626,Price 0,% Traded 7.09,Post Tnx Hold. 47.7%
9,"31 May, 2019",Acquisition -  Rights Issue,Indian Continent Investment Ltd & Bharti Telecom Ltd,Promoter,Qty 363703626,Price 0,% Traded 7.09,Post Tnx Hold. 47.7%
10,"31 May, 2019",Acquisition -  Rights Issue,Indian Continent Investment Ltd & Bharti Telecom Ltd,Promoter,Qty 363703626,Price 0,% Traded 7.09,Post Tnx Hold. 47.7%
11,"08 Nov, 2017",Disposal -  Market,Three Pillars Pte Ltd,,Qty 199870006,Price 0,% Traded 5.00,Post Tnx Hold. 0%
