,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"01 Jun, 2021",Disposal -  Market Sale,Sanjay Bajaj,Designated Person,Qty 12250,Price 331.79,% Traded 0.00,Post Tnx Hold. 0%
1,"15 Mar, 2021",Disposal -  Market Sale,Venkatarama Bheemeshwar Rao Adavikolanu,Designated Person,Qty 1000,Price 245.75,% Traded 0.00,Post Tnx Hold. 0%
2,"15 Mar, 2021",Disposal -  Market Sale,Venkatarama Bheemeshwar Rao Adavikolanu,Designated Person,Qty 2000,Price 245.75,% Traded 0.00,Post Tnx Hold. 0%
3,"12 Mar, 2021",Disposal -  Market Sale,Venkatarama Bheemeshwar Rao Adavikolanu,Designated Person,Qty 5000,Price 239.17,% Traded 0.00,Post Tnx Hold. 0%
4,"09 Mar, 2021",Disposal -  ESOP,Anand Aboti,Other,Qty 14000,Price 241.45,% Traded 0.01,Post Tnx Hold. 0.02%
5,"05 Mar, 2021",Disposal -  Market Sale,Venkatarama Bheemeshwar Rao Adavikolanu (Revised),Designated Person,Qty 2000,Price 235.7,% Traded 0.00,Post Tnx Hold. 0.01%
6,"22 Dec, 2020",Disposal -  Market,"ACACIA II Partners LP, & Others",Other,Qty 3988203,Price 0,% Traded 0.00,Post Tnx Hold. 0%
7,"19 Aug, 2020",Disposal -  Market,Hemlata Shende,Promoter,Qty 40000,Price 0,% Traded 0.01,Post Tnx Hold. 0%
8,"06 Aug, 2020",Disposal -  Off Market / Inter se transfer,S B Ravi Pandit & Others,Promoter,Qty 3018850,Price 0,% Traded 1.09,Post Tnx Hold. 0%
9,"05 Aug, 2020",Acquisition -  Off Market,National Engineering Industries Ltd & PACs,Promoter,Qty 3018850,Price 0,% Traded 1.09,Post Tnx Hold. 38.89%
10,"11 Jun, 2020",Disposal -  Off Market / Inter se transfer,Ajay Bhagwat,Promoter,Qty 786511,Price 0,% Traded 0.28,Post Tnx Hold. 0.38%
11,"11 Jun, 2020",Disposal -  Off Market / Inter se transfer,Chinmay Pandit,Promoter,Qty 7286,Price 0,% Traded 0.00,Post Tnx Hold. 0.01%
