,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"09 Mar, 2021",Disposal -  Inter-se Transfer,The Bombay Dyeing and Manufacturing Company Limited,Promoter,Qty 59200,Price 1219.17,% Traded 0.08,Post Tnx Hold. 5.9%
1,"09 Mar, 2021",Acquisition -  Inter-se Transfer,Macrofil Investments Limited,Promoter,Qty 59200,Price 1221,% Traded 0.08,Post Tnx Hold. 0.32%
2,"05 Mar, 2021",Disposal -  Block Deal,Nowrosjee Wadia & Sons Limited,Promoter,Qty 361750,Price 1186.3,% Traded 0.52,Post Tnx Hold. 38.97%
3,"05 Mar, 2021",Acquisition -  Block Deal,Nidhivan Investments and Trading Company Private Limited,Promoter,Qty 124300,Price 1186.3,% Traded 0.18,Post Tnx Hold. 0.21%
4,"05 Mar, 2021",Acquisition -  Block Deal,Sahara Investments Private Limited,Promoter,Qty 121700,Price 1186.3,% Traded 0.17,Post Tnx Hold. 0.24%
5,"05 Mar, 2021",Acquisition -  Block Deal,Heera Holdings and Leasing Private Limited,Promoter,Qty 115750,Price 1186.3,% Traded 0.17,Post Tnx Hold. 0.21%
6,"15 Jan, 2021",Acquisition -  ,Nowrosjee Wadia & Sons Ltd,Promoter,Qty 345000,Price 0,% Traded 0.50,Post Tnx Hold. 0%
7,"13 Mar, 2020",Acquisition -  Market,"ACACIA Banyan Partners,ACACIA Partners LP,ACACIA II Partners LP,ACACIA Institutional Partners LP And ACACIA Conservation Fund LP",Other,Qty 30000,Price 0,% Traded 0.00,Post Tnx Hold. 0%
8,"03 Sep, 2019",Disposal -  Market,The Bombay Dyeing and Manufacturing Company Ltd,Promoter,Qty 1788208,Price 0,% Traded 2.56,Post Tnx Hold. 8.24%
9,"03 Sep, 2019",Acquisition -  Block Deal,Mr. Nusli Neville Wadia,Promoter,Qty 133851,Price 0,% Traded 0.19,Post Tnx Hold. 10%
10,"03 Sep, 2019",Acquisition -  Block Deal,Naperol Investments Limited,Promoter,Qty 55633,Price 0,% Traded 0.08,Post Tnx Hold. 6.11%
11,"03 Sep, 2019",Acquisition -  Block Deal,National Peroxide Limited,Promoter,Qty 1054384,Price 0,% Traded 1.51,Post Tnx Hold. 3.3%
