,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"01 Apr, 2021", Creation Of Pledge,ROHIT MALKANI,Designated Person,Qty 49000,Price 383.35,% Traded 0.01,Post Tnx Hold. 0.01%
1,"01 Apr, 2021", Pledge Released,SACHIN PHARTIYAL,Designated Person,Qty 12000,Price 380,% Traded 0.00,Post Tnx Hold. 0%
2,"01 Apr, 2021",Disposal -  Market Sale,SACHIN PHARTIYAL,Designated Person,Qty 12000,Price 380,% Traded 0.00,Post Tnx Hold. 0%
3,"01 Apr, 2021", Pledge Released,SACHIN PHARTIYAL,Designated Person,Qty 13000,Price 382,% Traded 0.00,Post Tnx Hold. 0%
4,"01 Apr, 2021",Disposal -  Market Sale,SACHIN PHARTIYAL,Designated Person,Qty 13000,Price 382,% Traded 0.00,Post Tnx Hold. 0%
5,"01 Apr, 2021", Pledge Released,ROHIT MALKANI,Designated Person,Qty 3000,Price 389,% Traded 0.00,Post Tnx Hold. 0.01%
6,"01 Apr, 2021",Disposal -  Market,"Genesis Investment Management, LLP",Other,Qty 1131544,Price 0,% Traded 0.18,Post Tnx Hold. 4.96%
7,"19 Mar, 2021",Acquisition -  Market,"Genesis Investment Management, LLP",Other,Qty 1069377,Price 0,% Traded 0.17,Post Tnx Hold. 5.14%
8,"11 Feb, 2021", Creation Of Encumbrance,"Deutsche Bank AG , Mumbai Branch & DB Trustees (Hong Kong) Ltd",Other,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 0%
9,"10 Feb, 2021", Release Of Encumbrances,Deutsche Bank AG,Other,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 0%
10,"10 Feb, 2021",Disposal -  Market,Amalfiaco Ltd & PACs,Promoter,Qty 38000000,Price 0,% Traded 6.05,Post Tnx Hold. 11.36%
11,"12 Nov, 2020",Acquisition -  Market,Aditya Birla Sun Life Mutual Fund,Other,Qty 3800000,Price 0,% Traded 0.60,Post Tnx Hold. 5.23%
