,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"22 May, 2021",Disposal -  Market Sale,Hulst B.V.,Promoter,Qty 3100000,Price 3250.58,% Traded 5.12,Post Tnx Hold. 55.74%
1,"13 May, 2021",Disposal -  Market Sale,Hulst B.V.,Promoter,Qty 1900000,Price 3242.26,% Traded 3.14,Post Tnx Hold. 60.85%
2,"13 May, 2021",Disposal -  Market Sale,S Viswanathan,Designated Person,Qty 2000,Price 3325.85,% Traded 0.00,Post Tnx Hold. 0%
3,"05 Apr, 2021",Acquisition -  ESOP,S Viswanathan,Employee,Qty 4890,Price 2933.45,% Traded 0.01,Post Tnx Hold. 0%
4,"18 Dec, 2020",Acquisition -  ESOP,Anurag Chauhan,Employee,Qty 3000,Price 2503.15,% Traded 0.00,Post Tnx Hold. 0%
5,"17 Dec, 2020",Acquisition -  ESOP,S Viswanathan,Employee,Qty 4890,Price 2503.15,% Traded 0.01,Post Tnx Hold. 0%
6,"21 May, 2021", Pledge,DB International Trust Singapore Ltd,Other,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 0%
7,"21 May, 2021",Disposal -  Market,Hulst BV,Promoter,Qty 3100000,Price 0,% Traded 5.12,Post Tnx Hold. 55.74%
8,"12 May, 2021", Pledge,DB International Trust Singapore Ltd & Others,Other,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 0%
9,"12 May, 2021",Disposal -  Market,Hulst BV,Promoter,Qty 1900000,Price 0,% Traded 3.14,Post Tnx Hold. 60.85%
10,"11 May, 2021",Acquisition -  Market,Axis Capital Builder Fund Series 4 & Others,Other,Qty 1200000,Price 0,% Traded 1.98,Post Tnx Hold. 5.18%
11,"09 Feb, 2021",Acquisition -  Market,White Oak Capital Management Consultants LLP on behalf of Funds/PMS/SMA managed/advised,Other,Qty 100810,Price 0,% Traded 0.17,Post Tnx Hold. 5.01%
