,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"19 Jan, 2021",Acquisition -  Inheritance,Rajesh Kumar Agarwal,Promoter,Qty 2451574,Price 0,% Traded 1.10,Post Tnx Hold. 1.82%
1,"25 Mar, 2020",Acquisition -  Market Purchase,Sumitra Devi Agarwal,Promoter Group,Qty 12500,Price 100.35,% Traded 0.01,Post Tnx Hold. 0.77%
2,"25 Mar, 2020",Acquisition -  Market Purchase,Prem Kumar Bhajanka,Promoter & Director,Qty 35564,Price 104.11,% Traded 0.02,Post Tnx Hold. 2.1%
3,"25 Mar, 2020",Acquisition -  Market Purchase,Hari Prasad Agarwal,Promoter & Director,Qty 15814,Price 100.1,% Traded 0.01,Post Tnx Hold. 1.1%
4,"13 Mar, 2020",Acquisition -  Market Purchase,Vishnu Khemani,Promoter & Director,Qty 20000,Price 128.05,% Traded 0.01,Post Tnx Hold. 5.75%
5,"13 Mar, 2020",Acquisition -  Market Purchase,Sajjan Bhajanka,Promoter & Director,Qty 129422,Price 134,% Traded 0.06,Post Tnx Hold. 11.73%
6,"19 Jan, 2021",Acquisition -  Transmission,Rajesh Kumar Agarwal,Promoter,Qty 2451574,Price 0,% Traded 1.10,Post Tnx Hold. 1.82%
7,"14 Apr, 2020",Acquisition -  Market,Hari Prasad Agarwal & Others,Promoter,Qty 109004,Price 0,% Traded 0.05,Post Tnx Hold. 73.05%
8,"20 Mar, 2020",Acquisition -  Market,"Sajjan Bhajanka,Vishnu Khemani & Shraddha Agarwal",Promoter,Qty 169368,Price 0,% Traded 0.08,Post Tnx Hold. 73%
9,"16 Mar, 2020",Acquisition -  Market,"Sajjan Bhajanka,Vishnu Khemani & PACs",Promoter,Qty 159422,Price 0,% Traded 0.07,Post Tnx Hold. 72.92%
10,"20 Sep, 2019",Acquisition -  Market,Nikita Bansal,Promoter,Qty 7200,Price 0,% Traded 0.00,Post Tnx Hold. 72.85%
11,"23 Aug, 2019",Acquisition -  Market,"Sajjan Bhajanka,Nikita Bansal & PACs",Promoter,Qty 83204,Price 0,% Traded 0.04,Post Tnx Hold. 72.85%
