,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"02 Jun, 2021",Acquisition -  ESOP,Ramanan Ramachandaran Venkata,Designated Person,Qty 10600,Price 253.7,% Traded 0.00,Post Tnx Hold. 0%
1,"02 Jun, 2021",Acquisition -  Market Purchase,Uma Ramanathan,Promoters Immediate Relative,Qty 2,Price 500252,% Traded 0.00,Post Tnx Hold. 0.01%
2,"02 Jun, 2021",Acquisition -  Market Purchase,Valli Annamalai,Promoter Group,Qty 3,Price 500252,% Traded 0.00,Post Tnx Hold. 0.01%
3,"02 Jun, 2021",Acquisition -  Market Purchase,Valli Alagappan,Promoter Group,Qty 8,Price 500252,% Traded 0.00,Post Tnx Hold. 0.04%
4,"02 Jun, 2021",Disposal -  Market Sale,Vinay Kumar M,Designated Person,Qty 4000,Price 550,% Traded 0.00,Post Tnx Hold. 0%
5,"02 Jun, 2021", Revocation Of Pledge,Samir Modi,Designated Person,Qty 1000,Price 569,% Traded 0.00,Post Tnx Hold. 0%
6,"24 Jan, 2020",Disposal -  Internal Transfer,Invesco Ltd,Other,Qty 16083214,Price 0,% Traded 2.05,Post Tnx Hold. 4.63%
7,"24 Jan, 2020",Disposal -  Market,Invesco Ltd (Revised),Other,Qty 16083214,Price 0,% Traded 2.05,Post Tnx Hold. 4.63%
8,"11 Sep, 2019",Disposal -  Market,Cartica Capital Ltd,Other,Qty 17794424,Price 0,% Traded 2.28,Post Tnx Hold. 2.73%
9,"27 May, 2019",Acquisition -  The Acquisition Is On Account Of Internal Reorganization,Invesco Ltd,Other,Qty 8672972,Price 0,% Traded 5.54,Post Tnx Hold. 6.69%
10,"25 May, 2019",Disposal -  Disposal On Account Of Internal Reorganization,"Oppenheimer Funds,Inc.",Other,Qty 8497232,Price 0,% Traded 5.43,Post Tnx Hold. 0%
11,"03 Mar, 2018",Acquisition -  Market,"OppenheimerFunds,Inc.",Other,Qty 1707233,Price 0,% Traded 1.09,Post Tnx Hold. 5.43%
