,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"20 May, 2021",Acquisition -  ESOS,Kamalesh Kalidasan,Designated Person,Qty 1889,Price 2,% Traded 0.00,Post Tnx Hold. 0%
1,"23 Apr, 2021",Acquisition -  ESOS,A S Kumar,Designated Person,Qty 3777,Price 2,% Traded 0.00,Post Tnx Hold. 0%
2,"24 Mar, 2021",Acquisition -  ESOS,Debasish Mitra,Designated Person,Qty 2833,Price 2,% Traded 0.00,Post Tnx Hold. 0%
3,"23 Feb, 2021",Disposal -  Market Sale,Anil Kartha,Designated Person,Qty 4000,Price 820.85,% Traded 0.00,Post Tnx Hold. 0%
4,"08 Feb, 2021",Disposal -  Market Sale,Dr. Shrinivas Purandare,Designated Person,Qty 22000,Price 844.39,% Traded 0.00,Post Tnx Hold. 0%
5,"21 Jan, 2021",Acquisition -  ESOP,Kuber Jagdale,Designated Person,Qty 2644,Price 2,% Traded 0.00,Post Tnx Hold. 0%
6,"21 Dec, 2020",Disposal -  Market,ICICI Prudential Mutual Fund,Other,Qty 673564,Price 0,% Traded 0.08,Post Tnx Hold. 3.1%
7,"05 Mar, 2020",Acquisition -  Market,Life Insurance Corporation of India,Other,Qty 16294015,Price 0,% Traded 2.02,Post Tnx Hold. 4.52%
8,"21 Jan, 2020",Disposal -  Indirect Sale,Mitsubishi UFJ Financial Group (MUFG) & PACs,Other,Qty 16932277,Price 0,% Traded 2.10,Post Tnx Hold. 3.46%
9,"13 Nov, 2019",Disposal -  Indirect Sale,Mitsubishi UFJ Financial Group (MUFG) & PACs,Other,Qty 16787169,Price 0,% Traded 2.08,Post Tnx Hold. 5.56%
10,"06 Aug, 2019",Acquisition -  Indirect Acquisition,Mitsubishi UFJ Financial Group & PACs,Other,Qty 61387461,Price 0,% Traded 7.62,Post Tnx Hold. 7.64%
11,"26 Mar, 2019",Disposal -  Block Deal,Dr Yusuf K Hamied & PACs,Promoter,Qty 2775000,Price 0,% Traded 0.34,Post Tnx Hold. 36.67%
