,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"06 Feb, 2020",Disposal -  Off Market,THE PRESEIDENT OF INDIA ACTING THROUGH MINISTRY OF COAL GOVT OF INDIA,Promoter,Qty 179569059,Price 10,% Traded 2.91,Post Tnx Hold. 66.14%
1,"29 Jul, 2019",Disposal -  Off Market,PRESIDENT OF INDIA ACTING THROUGH MINISTRY OF COAL GOVERNMENT OF INDIA,Promoter,Qty 104977641,Price 214.09,% Traded 1.70,Post Tnx Hold. 69.26%
2,"27 Mar, 2019",Disposal -  Off Market,THE PRESIDENT OF INDIA ACTING THROUGH MINISTRY OF COAL GOVT. OF INDIA,Promoter,Qty 84592894,Price 228.28,% Traded 1.36,Post Tnx Hold. 70.96%
3,"25 Mar, 2019",Disposal -  Buy Back,THE PRESIDENT OF INDIA ACTING THROUGH MINISTRY OF COAL GOVT. OF INDIA,Promoter,Qty 44293572,Price 235,% Traded 0.71,Post Tnx Hold. 72.33%
4,"25 Feb, 2019",Disposal -  Off Market,THE PRESIDENT OF INDIA ACTING THROUGH MINISTRY OF COAL GOVERNMENT OF INDIA,Promoter,Qty 23779267,Price 204.6,% Traded 0.38,Post Tnx Hold. 72.52%
5,"07 Dec, 2018",Disposal -  Off Market,THE PRESIDENT OF INDIA ACTING THROUGH MINISTRY OF COAL,Promoter,Qty 681840,Price 254.22,% Traded 0.01,Post Tnx Hold. 72.91%
6,"24 Mar, 2020",Disposal -  Market,Nippon Life India Asset Management Limited.,Other,Qty 3139901,Price 0,% Traded 0.05,Post Tnx Hold. 3.01%
7,"10 Feb, 2020",Disposal -  Off Market,"The President of India,acting through the Ministry of Coal,Government of India",Promoter,Qty 179569059,Price 0,% Traded 2.91,Post Tnx Hold. 66.14%
8,"05 Feb, 2020",Acquisition -  Market,Nippon Life India Trustee Ltd,Other,Qty 179662426,Price 0,% Traded 2.91,Post Tnx Hold. 5.02%
9,"14 Oct, 2019",Disposal -  Off Market,"Ministry of Coal,Government of India",,Qty 12835528,Price 0,% Traded 0.21,Post Tnx Hold. 69.05%
10,"14 Oct, 2019",Disposal -  Off Market,"President of India,acting through Ministry of Coal,Government of India (Revised)",Promoter,Qty 12835528,Price 0,% Traded 0.21,Post Tnx Hold. 69.05%
11,"06 Dec, 2018",Disposal -  Off Market,"The President of India,acting through Ministry of Coal,Government of India",Promoter,Qty 137311943,Price 0,% Traded 2.21,Post Tnx Hold. 72.92%
