,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"23 Mar, 2021",Acquisition -  Market Purchase,Robust Marketing Services Private Limited,Promoter,Qty 53000,Price 236.52,% Traded 0.05,Post Tnx Hold. 10.44%
1,"23 Mar, 2021",Acquisition -  Market Purchase,Robust Marketing Services Private Limited,Promoter,Qty 43000,Price 234.27,% Traded 0.04,Post Tnx Hold. 10.48%
2,"19 Mar, 2021",Acquisition -  Market Purchase,Robust Marketing Services Private Limited,Promoter,Qty 35000,Price 231.97,% Traded 0.03,Post Tnx Hold. 10.31%
3,"19 Mar, 2021",Acquisition -  Market Purchase,Robust Marketing Services Private Limited,Promoter,Qty 80000,Price 241.51,% Traded 0.08,Post Tnx Hold. 10.39%
4,"17 Mar, 2021",Acquisition -  Market Purchase,Robust Marketing Services Private Limited,Promoter,Qty 25000,Price 212.81,% Traded 0.02,Post Tnx Hold. 10.27%
5,"12 Mar, 2021",Acquisition -  Market Purchase,Robust Marketing Services Private Limited,Promoter,Qty 125000,Price 208.1,% Traded 0.12,Post Tnx Hold. 10.13%
6,"23 Mar, 2021",Acquisition -  Market,Robust Marketing Services Pvt Ltd,Promoter,Qty 43000,Price 0,% Traded 0.04,Post Tnx Hold. 10.47%
7,"22 Mar, 2021",Acquisition -  Market,Robust Marketing Services Pvt Ltd,Promoter,Qty 53000,Price 0,% Traded 0.05,Post Tnx Hold. 10.43%
8,"19 Mar, 2021",Acquisition -  Market,Robust Marketing Services Pvt Ltd,Promoter,Qty 80000,Price 0,% Traded 0.07,Post Tnx Hold. 10.38%
9,"17 Mar, 2021",Acquisition -  Market,Robust Marketing Services Pvt Ltd,Promoter,Qty 35000,Price 0,% Traded 0.03,Post Tnx Hold. 10.3%
10,"16 Mar, 2021",Acquisition -  Market,Robust Marketing Services Pvt Ltd,Promoter,Qty 25000,Price 0,% Traded 0.02,Post Tnx Hold. 10.27%
11,"12 Mar, 2021",Acquisition -  Market,Robust Marketing Services Pvt Ltd,Promoter,Qty 124257,Price 0,% Traded 0.12,Post Tnx Hold. 10.24%
