,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"16 Jun, 2020",Disposal -  Gift,Chimanlal K Mehta,Promoter,Qty 315000,Price 0,% Traded 0.23,Post Tnx Hold. 0.51%
1,"16 Jun, 2020",Acquisition -  Gift,Deepak C Mehta,Promoter,Qty 315000,Price 0,% Traded 0.23,Post Tnx Hold. 16.04%
2,"24 Mar, 2020",Acquisition -  Market Purchase,Deepak C Mehta,Promoter,Qty 7500,Price 342.2,% Traded 0.01,Post Tnx Hold. 15.8%
3,"24 Mar, 2020",Acquisition -  Market Purchase,Stiffen Credits and Capital Private Limited,Promoter Group,Qty 36000,Price 349.2,% Traded 0.03,Post Tnx Hold. 6.17%
4,"19 Feb, 2020",Disposal -  Gift,Shri C.K.Mehta,Promoter Group,Qty 16000,Price 0,% Traded 0.01,Post Tnx Hold. 0.75%
5,"19 Feb, 2020",Acquisition -  Gift,Prahaan Mehta Minor Gurdian Mr. Maulik Mehta,Promoter Group,Qty 16000,Price 0,% Traded 0.01,Post Tnx Hold. 0.01%
6,"07 Apr, 2021",Disposal -  Market,Franklin Templeton Mutual Fund,Other,Qty 25000,Price 0,% Traded 0.02,Post Tnx Hold. 3.13%
7,"01 Apr, 2021",Disposal -  Market,Nippon Life India Trustee Ltd,Other,Qty 164922,Price 0,% Traded 0.12,Post Tnx Hold. 3.44%
8,"01 Apr, 2020",Disposal -  Market,Aditya Birla Sun Life Mutual Fund,Other,Qty 2807155,Price 0,% Traded 2.05,Post Tnx Hold. 2.96%
9,"23 Aug, 2019",Acquisition -  Market,Deepak Chimanlal Mehta,Promoter,Qty 300000,Price 0,% Traded 0.22,Post Tnx Hold. 15.8%
10,"22 Aug, 2019",Acquisition -  Market,Skyrose Finvest Pvt Ltd,Promoter,Qty 27000,Price 0,% Traded 0.01,Post Tnx Hold. 2.81%
11,"22 Aug, 2019",Acquisition -  Market,Storewell Credits and Capital Pvt Ltd,Promoter,Qty 700000,Price 0,% Traded 0.51,Post Tnx Hold. 0.65%
