,0,1,2,3
0,Profit & Loss account of ABB Power Products and Systems India (in Rs. Cr.),Dec 20,Dec 19,
1,,12 mths,10 mths,
2,INCOME,,,
3,Revenue From Operations [Gross],3347.74,3189.82,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,
5,Revenue From Operations [Net],3347.74,3189.82,
6,Total Operating Revenues,3420.44,3236.06,
7,Other Income,18.50,0.47,
8,Total Revenue,3438.94,3236.53,
9,EXPENSES,,,
10,Cost Of Materials Consumed,1726.62,1530.44,
11,Operating And Direct Expenses,266.81,269.48,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",-63.73,55.55,
13,Employee Benefit Expenses,369.41,255.20,
14,Finance Costs,20.44,26.38,
15,Depreciation And Amortisation Expenses,77.17,48.41,
16,Other Expenses,772.75,617.37,
17,Total Expenses,3267.16,2975.09,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",171.78,261.44,
19,Exceptional Items,-35.50,-40.79,
20,Profit/Loss Before Tax,136.28,220.65,
21,Tax Expenses-Continued Operations,,,
22,Current Tax,60.12,62.20,
23,Less: MAT Credit Entitlement,0.00,0.00,
24,Deferred Tax,-23.64,-6.94,
25,Tax For Earlier Years,0.00,0.00,
26,Total Tax Expenses,36.48,55.26,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,99.80,165.39,
28,Profit/Loss From Continuing Operations,99.80,165.39,
29,Profit/Loss For The Period,99.80,165.39,
30,OTHER ADDITIONAL INFORMATION,,,
31,EARNINGS PER SHARE,,,
32,Basic EPS (Rs.),23.55,44.69,
33,Diluted EPS (Rs.),23.55,44.69,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,
35,Imported Raw Materials,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,
38,Imported Stores And Spares,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,
41,Equity Share Dividend,0.00,0.00,
42,Tax On Dividend,0.00,0.00,
43,Equity Dividend Rate (%),0.00,0.00,
