,0,1,2,3,4,5,6
0,Profit & Loss account of Adani Enterprises (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],13358.73,16189.49,15334.62,9481.86,7704.24,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],13358.73,16189.49,15334.62,9481.86,7704.24,
6,Total Operating Revenues,13358.73,16208.69,15541.30,9550.21,7779.37,
7,Other Income,391.92,410.33,382.30,616.21,687.12,
8,Total Revenue,13750.65,16619.02,15923.60,10166.42,8466.49,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",434.03,376.27,-605.27,-730.06,-30.34,
13,Employee Benefit Expenses,312.17,275.87,239.36,235.34,247.07,
14,Finance Costs,505.93,381.01,581.07,666.35,781.80,
15,Depreciation And Amortisation Expenses,121.51,120.97,101.19,87.41,78.86,
16,Other Expenses,1483.86,2506.97,1728.87,910.08,1029.42,
17,Total Expenses,12982.54,15964.81,15275.58,9677.48,8069.04,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",768.11,654.21,648.02,488.94,397.45,
19,Exceptional Items,-212.85,315.34,-20.82,-181.05,0.00,
20,Profit/Loss Before Tax,555.26,969.55,627.20,307.89,397.45,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,186.45,180.05,94.90,63.33,85.44,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,90.61,44.52,33.08,77.90,
25,Tax For Earlier Years,0.00,0.00,2.87,0.50,3.54,
26,Total Tax Expenses,186.45,270.66,142.29,96.91,166.88,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,368.81,698.89,484.91,210.98,230.57,
28,Profit/Loss From Continuing Operations,368.81,698.89,484.91,210.98,230.57,
29,Profit/Loss For The Period,368.81,698.89,487.24,197.03,221.64,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),3.35,6.35,4.43,1.79,2.02,
33,Diluted EPS (Rs.),3.35,6.35,4.43,1.79,2.02,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,153.97,43.99,43.99,0.00,
42,Tax On Dividend,0.00,31.66,9.04,8.96,0.00,
43,Equity Dividend Rate (%),100.00,100.00,40.00,40.00,40.00,
