,0,1,2,3,4,5,6
0,Profit & Loss account of Adani Power (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],447.17,1005.32,2404.20,8107.68,10672.42,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],447.17,1005.32,2404.20,8107.68,10672.42,
6,Total Operating Revenues,447.17,1005.32,2404.20,8249.26,10868.11,
7,Other Income,134.37,910.84,1065.67,334.79,735.22,
8,Total Revenue,581.54,1916.16,3469.87,8584.05,11603.33,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,0.00,70.34,0.00,0.00,
13,Employee Benefit Expenses,32.88,41.61,40.52,123.35,166.76,
14,Finance Costs,644.02,1175.23,1239.04,2008.07,3101.56,
15,Depreciation And Amortisation Expenses,32.46,34.77,38.06,860.67,1120.72,
16,Other Expenses,23.74,92.90,88.43,875.66,986.94,
17,Total Expenses,1084.55,2253.73,3695.10,10114.67,13832.96,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",-503.01,-337.57,-225.23,-1530.62,-2229.63,
19,Exceptional Items,0.00,-1002.99,0.00,1506.85,-3907.94,
20,Profit/Loss Before Tax,-503.01,-1340.56,-225.23,-23.77,-6137.57,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,-4.27,0.00,0.00,0.00,0.03,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,0.00,0.00,0.00,-83.26,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,-4.27,0.00,0.00,0.00,-83.23,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,-498.74,-1340.56,-225.23,-23.77,-6054.34,
28,Profit/Loss From Continuing Operations,-498.74,-1340.56,-225.23,-23.77,-6054.34,
29,Profit/Loss For The Period,-498.74,-1340.56,-225.23,-23.77,-6054.34,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),-3.75,-5.77,-1.24,-0.06,-17.48,
33,Diluted EPS (Rs.),-3.75,-5.77,-1.24,-0.06,-17.48,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,0.00,0.00,0.00,0.00,
42,Tax On Dividend,0.00,0.00,0.00,0.00,0.00,
43,Equity Dividend Rate (%),0.00,0.00,0.00,0.00,0.00,
