,0,1,2,3,4,5,6
0,Profit & Loss account of Adani Transmission (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],755.23,857.79,832.83,835.15,809.50,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],755.23,857.79,832.83,835.15,809.50,
6,Total Operating Revenues,755.23,857.79,832.83,835.29,809.65,
7,Other Income,679.43,795.83,798.58,775.03,798.65,
8,Total Revenue,1434.66,1653.62,1631.41,1610.32,1608.30,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,0.00,0.00,0.00,0.00,
13,Employee Benefit Expenses,3.80,3.27,4.45,6.07,13.44,
14,Finance Costs,690.24,767.19,733.45,794.16,818.74,
15,Depreciation And Amortisation Expenses,0.29,0.30,0.12,0.08,0.05,
16,Other Expenses,7.11,20.11,11.14,19.03,15.79,
17,Total Expenses,1455.87,1648.08,1577.41,1634.95,1603.42,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",-21.21,5.54,54.00,-24.63,4.88,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,-21.21,5.54,54.00,-24.63,4.88,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,0.00,0.00,11.60,0.00,1.03,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,0.00,0.00,0.00,0.00,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,0.00,0.00,11.60,0.00,1.03,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,-21.21,5.54,42.40,-24.63,3.85,
28,Profit/Loss From Continuing Operations,-21.21,5.54,42.40,-24.63,3.85,
29,Profit/Loss For The Period,-21.21,5.54,42.40,-24.63,3.85,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),-2.30,0.05,0.39,-0.67,0.03,
33,Diluted EPS (Rs.),-2.30,0.05,0.39,-0.67,0.03,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,0.00,0.00,0.00,0.00,
42,Tax On Dividend,0.00,0.00,0.00,0.00,0.00,
43,Equity Dividend Rate (%),0.00,0.00,0.00,0.00,0.00,
