,0,1,2,3,4,5,6
0,Profit & Loss account of Aegis Logistics (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],856.99,705.88,500.81,387.68,356.46,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],856.99,705.88,500.81,387.68,356.46,
6,Total Operating Revenues,859.72,707.06,501.76,388.60,357.35,
7,Other Income,66.54,20.30,27.68,25.51,6.55,
8,Total Revenue,926.26,727.36,529.44,414.11,363.90,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",1.91,-8.99,-1.80,-9.73,6.42,
13,Employee Benefit Expenses,38.32,41.80,38.93,38.51,40.41,
14,Finance Costs,22.69,21.35,7.43,8.04,8.56,
15,Depreciation And Amortisation Expenses,37.97,25.16,17.84,11.25,11.55,
16,Other Expenses,324.73,114.16,91.96,82.72,86.70,
17,Total Expenses,922.84,600.41,420.29,310.75,290.00,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",3.42,126.95,109.15,103.36,73.90,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,3.42,126.95,109.15,103.36,73.90,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,15.38,29.22,25.00,30.35,24.15,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,-39.04,9.91,-15.08,6.61,0.32,
25,Tax For Earlier Years,2.40,-0.80,-1.69,0.09,-4.44,
26,Total Tax Expenses,-21.27,38.33,8.23,37.05,20.03,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,24.69,88.62,100.92,66.31,53.87,
28,Profit/Loss From Continuing Operations,24.69,88.62,100.92,66.31,53.87,
29,Profit/Loss For The Period,24.69,88.62,100.92,66.31,53.87,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),0.73,2.65,3.02,1.99,1.61,
33,Diluted EPS (Rs.),0.70,2.65,3.02,1.99,1.61,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.13,0.14,0.01,0.00,
36,Indigenous Raw Materials,0.00,5.09,3.32,3.51,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.01,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,3.65,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,41.75,28.39,0.00,30.06,
42,Tax On Dividend,0.00,5.27,2.16,0.00,6.12,
43,Equity Dividend Rate (%),170.00,140.00,125.00,105.00,90.00,
