,0,1,2,3,4,5,6
0,Profit & Loss account of Alkem Laboratories (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],7219.68,6534.80,5631.36,5196.70,4603.04,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],7219.68,6534.80,5631.36,5196.70,4603.04,
6,Total Operating Revenues,7219.68,6677.08,5714.09,5300.26,4668.45,
7,Other Income,190.01,95.98,67.58,81.66,116.60,
8,Total Revenue,7409.69,6773.06,5781.67,5381.92,4785.05,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,2046.52,1799.87,1497.22,1327.69,1232.26,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",-301.29,-33.69,86.56,-91.42,-211.92,
13,Employee Benefit Expenses,1158.72,1066.76,960.09,861.63,722.25,
14,Finance Costs,42.93,38.71,28.26,32.37,23.68,
15,Depreciation And Amortisation Expenses,198.93,186.84,141.07,107.65,76.48,
16,Other Expenses,1447.01,1592.11,1436.42,1370.76,1272.83,
17,Total Expenses,5512.61,5434.98,4837.71,4447.63,3890.62,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",1897.08,1338.08,943.96,934.29,894.43,
19,Exceptional Items,-12.78,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,1884.30,1338.08,943.96,934.29,894.43,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,199.22,278.33,200.41,201.66,190.94,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,-173.29,-56.29,16.79,-179.67,
25,Tax For Earlier Years,0.00,-31.38,0.00,0.00,0.00,
26,Total Tax Expenses,199.22,73.66,144.12,218.45,11.27,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,1685.08,1264.42,799.84,715.84,883.16,
28,Profit/Loss From Continuing Operations,1685.08,1264.42,799.84,715.84,883.16,
29,Profit/Loss For The Period,1685.08,1264.42,799.84,715.84,883.16,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),140.93,105.75,66.90,59.87,73.86,
33,Diluted EPS (Rs.),140.93,105.75,66.90,59.87,73.86,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,358.70,179.35,179.35,71.74,
42,Tax On Dividend,0.00,73.21,36.46,36.51,14.60,
43,Equity Dividend Rate (%),1500.00,1250.00,800.00,650.00,750.00,
