,0,1,2,3,4,5,6
0,Profit & Loss account of Alok Industries (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],3735.31,3161.66,3123.50,5376.19,8319.48,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,48.33,196.38,
5,Revenue From Operations [Net],3735.31,3161.66,3123.50,5327.86,8123.10,
6,Total Operating Revenues,3735.31,3166.34,3128.76,5333.62,8129.69,
7,Other Income,21.66,85.19,124.32,105.68,165.69,
8,Total Revenue,3756.97,3251.53,3253.08,5439.30,8295.38,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,2477.55,2066.87,2105.77,5189.13,7458.70,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",-344.41,-12.82,45.51,-26.21,93.55,
13,Employee Benefit Expenses,307.41,256.99,252.95,275.68,283.31,
14,Finance Costs,472.72,98.57,4158.00,4682.87,3273.52,
15,Depreciation And Amortisation Expenses,285.43,529.45,533.17,527.80,512.63,
16,Other Expenses,1749.05,1142.56,921.65,12996.18,2299.65,
17,Total Expenses,4947.75,4081.62,8017.05,23645.45,13921.36,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",-1190.78,-830.09,-4763.97,-18206.15,-5625.98,
19,Exceptional Items,-3241.10,2052.55,7045.19,0.00,0.00,
20,Profit/Loss Before Tax,-4431.88,1222.46,2281.22,-18206.15,-5625.98,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,1423.11,0.00,0.00,15.85,-29.18,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,-0.73,-0.91,-4.66,-2094.38,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,1423.11,-0.73,-0.91,11.19,-2123.56,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,-5854.99,1223.19,2282.13,-18217.34,-3502.42,
28,Profit/Loss From Continuing Operations,-5854.99,1223.19,2282.13,-18217.34,-3502.42,
29,Profit/Loss For The Period,-5854.99,1223.19,2282.13,-18217.34,-3502.42,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),-15.68,8.45,16.67,-134.15,-25.79,
33,Diluted EPS (Rs.),-15.68,3.10,16.67,-134.15,-25.79,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,0.00,0.00,0.00,0.00,
42,Tax On Dividend,0.00,0.00,0.00,0.00,0.00,
43,Equity Dividend Rate (%),0.00,0.00,0.00,0.00,0.00,
