,0,1,2,3,4,5,6
0,Profit & Loss account of Bharat Heavy Electricals (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],20490.64,29422.94,28098.42,28840.42,27498.70,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,135.27,1252.78,1448.63,
5,Revenue From Operations [Net],20490.64,29422.94,27963.15,27587.64,26050.07,
6,Total Operating Revenues,21486.06,30422.68,28925.71,28447.04,26638.37,
7,Other Income,580.58,677.64,693.05,765.92,1497.72,
8,Total Revenue,22066.64,31100.32,29618.76,29212.96,28136.09,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,12132.96,15382.87,12504.08,13528.41,13424.10,
11,Operating And Direct Expenses,2946.98,3866.10,5550.54,6049.34,2953.03,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",-1015.53,-990.80,736.13,994.48,210.49,
13,Employee Benefit Expenses,5403.47,5501.60,6026.47,5394.59,5379.75,
14,Finance Costs,506.95,287.29,254.55,350.61,359.48,
15,Depreciation And Amortisation Expenses,502.86,474.81,786.40,848.84,935.74,
16,Other Expenses,1995.60,2693.57,0.00,0.00,4033.81,
17,Total Expenses,22728.75,29052.82,28033.77,28585.13,29300.26,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",-662.11,2047.50,1584.99,627.83,-1164.17,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,-662.11,2047.50,1584.99,627.83,-1164.17,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,1.52,735.07,578.67,298.35,391.08,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,809.34,103.78,199.72,-166.38,-845.65,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,810.86,838.85,778.39,131.97,-454.57,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,-1472.97,1208.65,806.60,495.86,-709.60,
28,Profit/Loss From Continuing Operations,-1472.97,1208.65,806.60,495.86,-709.60,
29,Profit/Loss For The Period,-1472.97,1208.65,806.60,495.86,-709.60,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),-4.23,3.33,2.20,1.35,-2.90,
33,Diluted EPS (Rs.),-4.23,3.33,2.20,1.35,-2.90,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,3617.70,4603.07,2526.61,4091.19,4017.42,
36,Indigenous Raw Materials,8515.26,10779.80,9977.47,9437.22,9406.68,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,278.57,484.63,293.71,151.75,
42,Tax On Dividend,0.00,134.24,98.66,59.79,30.89,
43,Equity Dividend Rate (%),0.00,100.00,91.00,79.00,20.00,
