,0,1,2,3,4,5,6
0,Profit & Loss account of Balrampur Chini Mills (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],4811.66,4462.59,4276.23,4400.72,3641.00,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,58.18,180.86,
5,Revenue From Operations [Net],4811.66,4462.59,4276.23,4342.54,3460.13,
6,Total Operating Revenues,4811.66,4741.29,4285.78,4342.54,3460.13,
7,Other Income,33.45,38.55,42.75,27.78,24.94,
8,Total Revenue,4845.11,4779.84,4328.52,4370.32,3485.08,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,3511.86,3464.16,3595.41,3064.88,2576.85,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",-55.83,37.34,-538.36,409.75,-419.52,
13,Employee Benefit Expenses,281.65,254.00,230.46,204.00,180.91,
14,Finance Costs,39.30,64.17,40.94,52.03,55.43,
15,Depreciation And Amortisation Expenses,111.88,101.42,95.85,95.22,104.94,
16,Other Expenses,360.14,303.84,309.20,212.26,252.33,
17,Total Expenses,4249.00,4224.91,3733.49,4038.14,2750.93,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",596.11,554.93,595.03,332.18,734.15,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,596.11,554.93,595.03,332.18,734.15,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,126.34,97.10,128.48,71.15,157.88,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,-51.46,-104.08,40.06,-16.02,
25,Tax For Earlier Years,0.00,0.00,0.00,-0.14,0.00,
26,Total Tax Expenses,126.34,45.65,24.39,111.06,141.86,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,469.77,509.28,570.64,221.12,592.29,
28,Profit/Loss From Continuing Operations,469.77,509.28,570.64,221.12,592.29,
29,Profit/Loss For The Period,469.77,509.28,570.64,221.12,592.29,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),22.01,22.98,24.98,9.41,24.26,
33,Diluted EPS (Rs.),22.01,22.98,24.98,9.41,24.26,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,55.00,57.11,58.76,85.75,
42,Tax On Dividend,0.00,11.31,11.74,11.96,17.46,
43,Equity Dividend Rate (%),250.00,250.00,250.00,250.00,350.00,
