,0,1,2,3,4,5,6
0,Profit & Loss account of Bharti Airtel (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],64325.90,54317.10,49606.00,53663.00,62276.30,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],64325.90,54317.10,49606.00,53663.00,62276.30,
6,Total Operating Revenues,64325.90,54317.10,49606.00,53663.00,62276.30,
7,Other Income,2387.90,2242.50,2632.70,235.60,184.30,
8,Total Revenue,66713.80,56559.60,52238.70,53898.60,62460.60,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,
11,Operating And Direct Expenses,0.00,27958.30,29321.40,13951.20,14536.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,0.00,0.00,0.00,0.00,
13,Employee Benefit Expenses,1664.50,1520.20,1471.00,1720.90,1738.50,
14,Finance Costs,11816.70,11463.10,7847.70,5069.00,2912.50,
15,Depreciation And Amortisation Expenses,21997.50,20392.10,15120.20,13048.60,12203.40,
16,Other Expenses,34677.30,4705.00,6527.20,20186.00,22308.90,
17,Total Expenses,70156.00,66038.70,60287.50,53975.70,53699.30,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",-3442.20,-9479.10,-8048.80,-77.10,8761.30,
19,Exceptional Items,-15023.00,-41541.80,2804.90,-604.10,-17270.80,
20,Profit/Loss Before Tax,-18465.20,-51020.90,-5243.90,-681.20,-8509.50,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,6732.40,0.00,1.50,-220.40,-4.50,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,-14932.70,-3376.20,-540.00,1420.60,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,6732.40,-14932.70,-3374.70,-760.40,1416.10,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,-25197.60,-36088.20,-1869.20,79.20,-9925.60,
28,Profit/Loss From Continuing Operations,-25197.60,-36088.20,-1869.20,79.20,-9925.60,
29,Profit/Loss For The Period,-25197.60,-36088.20,-1869.20,79.20,-9925.60,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),-46.18,-71.08,-4.36,0.20,-24.84,
33,Diluted EPS (Rs.),-46.18,-71.08,-4.36,0.20,-24.84,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,0.00,1998.80,999.30,399.70,
42,Tax On Dividend,0.00,0.00,0.00,535.70,145.90,
43,Equity Dividend Rate (%),0.00,40.00,50.00,107.00,20.00,
