,0,1,2,3,4,5,6
0,Profit & Loss account of Can Fin Homes (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],2030.41,1726.95,1517.85,1353.06,1082.93,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],2030.41,1726.95,1517.85,1353.06,1082.93,
6,Total Operating Revenues,2030.41,1726.95,1517.85,1353.06,1082.93,
7,Other Income,0.04,4.39,4.14,0.06,0.61,
8,Total Revenue,2030.45,1731.35,1521.98,1353.12,1083.54,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,
11,Operating And Direct Expenses,12.31,10.85,9.57,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,0.00,0.00,0.00,0.00,
13,Employee Benefit Expenses,54.21,41.40,44.82,39.36,33.06,
14,Finance Costs,1344.21,1169.27,981.02,884.03,743.48,
15,Depreciation And Amortisation Expenses,9.47,2.97,3.09,3.73,3.46,
16,Other Expenses,31.65,36.26,30.30,37.62,30.28,
17,Total Expenses,1512.16,1261.84,1090.90,983.55,829.68,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",518.29,469.50,431.08,369.58,253.86,
19,Exceptional Items,0.00,0.00,0.00,0.59,0.00,
20,Profit/Loss Before Tax,518.29,469.50,431.08,370.17,253.86,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,145.57,172.04,160.75,115.13,80.00,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,-8.02,-0.79,-12.52,19.78,16.76,
25,Tax For Earlier Years,4.62,1.52,-3.34,0.00,0.00,
26,Total Tax Expenses,142.16,172.77,144.89,134.91,96.76,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,376.12,296.74,286.19,235.26,157.11,
28,Profit/Loss From Continuing Operations,376.12,296.74,286.19,235.26,157.11,
29,Profit/Loss For The Period,376.12,296.74,286.19,235.26,157.11,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),28.25,22.29,21.49,17.68,59.02,
33,Diluted EPS (Rs.),28.25,22.29,21.49,17.68,59.02,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,26.63,26.63,26.63,0.00,26.63,
42,Tax On Dividend,5.47,5.47,5.42,0.00,5.42,
43,Equity Dividend Rate (%),100.00,100.00,100.00,100.00,100.00,
