,0,1,2,3,4,5,6
0,Profit & Loss account of Capri Global Capital (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],556.06,470.43,314.75,218.84,167.66,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],556.06,470.43,314.75,218.84,167.66,
6,Total Operating Revenues,578.23,499.76,334.21,222.12,186.39,
7,Other Income,3.93,4.34,2.76,16.14,0.16,
8,Total Revenue,582.16,504.09,336.98,238.26,186.55,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,
11,Operating And Direct Expenses,6.24,2.01,7.57,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,0.00,0.00,0.00,0.00,
13,Employee Benefit Expenses,97.58,97.43,70.37,52.80,32.40,
14,Finance Costs,215.97,169.89,95.07,37.96,11.78,
15,Depreciation And Amortisation Expenses,8.47,4.88,5.70,4.19,3.32,
16,Other Expenses,37.76,45.11,36.28,34.26,18.21,
17,Total Expenses,392.55,326.72,221.48,143.06,134.43,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",189.62,177.38,115.50,95.20,52.12,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,189.62,177.38,115.50,95.20,52.12,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,52.63,52.90,47.85,37.82,14.70,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.51,-4.20,-4.70,-0.47,-0.14,
25,Tax For Earlier Years,0.75,0.00,0.00,0.06,-3.64,
26,Total Tax Expenses,53.89,48.70,43.15,37.41,10.91,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,135.72,128.68,72.34,57.78,41.20,
28,Profit/Loss From Continuing Operations,135.72,128.68,72.34,57.78,41.20,
29,Profit/Loss For The Period,135.72,128.68,72.34,57.78,41.20,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),7.75,7.35,4.13,3.30,11.76,
33,Diluted EPS (Rs.),7.70,7.31,4.12,3.30,11.76,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,6.30,5.25,5.25,0.00,5.25,
42,Tax On Dividend,1.30,1.08,1.07,0.00,1.07,
43,Equity Dividend Rate (%),10.00,18.00,15.00,15.00,15.00,
