,0,1,2,3,4,5,6
0,Profit & Loss account of Cera Sanitaryware (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],1204.12,1339.90,1189.06,1057.08,977.07,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,10.60,47.61,43.39,
5,Revenue From Operations [Net],1204.12,1339.90,1178.47,1009.47,933.69,
6,Total Operating Revenues,1209.16,1343.60,1182.08,1011.49,933.69,
7,Other Income,15.56,15.65,11.28,11.03,9.97,
8,Total Revenue,1224.72,1359.24,1193.36,1022.52,943.66,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,104.89,105.52,89.61,70.98,76.21,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",-24.93,-14.91,-33.58,10.31,-6.71,
13,Employee Benefit Expenses,160.40,156.40,140.26,118.17,111.01,
14,Finance Costs,4.40,3.24,5.24,5.39,5.46,
15,Depreciation And Amortisation Expenses,32.67,22.85,22.36,18.12,16.32,
16,Other Expenses,301.45,350.88,307.78,241.35,240.66,
17,Total Expenses,1084.11,1179.08,1038.92,864.07,814.19,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",140.61,180.17,154.44,158.45,129.46,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,140.61,180.17,154.44,158.45,129.46,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,37.12,60.15,50.10,51.44,39.43,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,-12.46,4.96,4.09,3.04,6.57,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,24.67,65.11,54.19,54.47,46.00,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,115.94,115.05,100.25,103.97,83.46,
28,Profit/Loss From Continuing Operations,115.94,115.05,100.25,103.97,83.46,
29,Profit/Loss For The Period,115.94,115.05,100.25,103.97,83.46,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),89.15,88.46,77.08,79.94,64.17,
33,Diluted EPS (Rs.),89.15,88.46,77.08,79.94,64.17,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,7.16,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,69.05,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,1.67,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,8.52,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,33.82,15.61,15.61,11.71,11.71,
42,Tax On Dividend,6.95,3.21,3.18,2.45,2.45,
43,Equity Dividend Rate (%),260.00,260.00,240.00,240.00,180.00,
