,0,1,2,3,4,5,6
0,Profit & Loss account of Cholamandalam Investment and Finance Company (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],8652.63,6991.97,5479.23,4634.11,4177.43,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],8652.63,6991.97,5479.23,4634.11,4177.43,
6,Total Operating Revenues,8652.63,6991.97,5479.23,4659.55,4192.47,
7,Other Income,0.26,0.67,0.43,0.79,1.24,
8,Total Revenue,8652.89,6992.64,5479.66,4660.35,4193.71,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,
11,Operating And Direct Expenses,0.00,0.00,0.00,178.42,225.83,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,0.00,0.00,0.00,0.00,
13,Employee Benefit Expenses,655.00,590.58,536.79,402.64,253.95,
14,Finance Costs,4592.23,3588.74,2659.33,2230.80,2050.78,
15,Depreciation And Amortisation Expenses,107.54,55.48,49.68,38.11,21.33,
16,Other Expenses,815.06,623.49,528.79,394.16,343.82,
17,Total Expenses,7067.16,5169.49,4078.29,3554.77,3322.94,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",1585.73,1823.15,1401.37,1105.58,870.77,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,1585.73,1823.15,1401.37,1105.58,870.77,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,567.32,714.49,533.59,418.05,400.19,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,-33.96,-93.49,-50.52,-33.66,-97.87,
25,Tax For Earlier Years,0.00,16.00,0.00,2.45,0.00,
26,Total Tax Expenses,533.36,637.00,483.07,386.84,302.32,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,1052.37,1186.15,918.30,718.74,568.45,
28,Profit/Loss From Continuing Operations,1052.37,1186.15,918.30,718.74,568.45,
29,Profit/Loss For The Period,1052.37,1186.15,918.30,718.74,568.45,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),13.37,75.87,58.75,46.01,37.50,
33,Diluted EPS (Rs.),13.35,75.81,58.70,45.99,37.46,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,166.17,101.63,101.60,54.69,70.26,
42,Tax On Dividend,34.15,20.89,20.68,11.14,14.74,
43,Equity Dividend Rate (%),85.00,65.00,65.00,55.00,45.00,
