,0,1,2,3,4,5,6
0,Profit & Loss account of Cummins India (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],4256.09,5061.60,5525.71,5030.34,5309.52,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,78.56,351.41,
5,Revenue From Operations [Net],4256.09,5061.60,5525.71,4951.78,4958.11,
6,Total Operating Revenues,4329.24,5157.73,5659.00,5082.50,5077.34,
7,Other Income,370.15,331.54,292.77,228.47,207.98,
8,Total Revenue,4699.39,5489.27,5951.77,5310.97,5285.32,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,2344.55,2612.55,2706.01,2531.36,2713.83,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",-18.62,33.44,-39.42,40.01,21.36,
13,Employee Benefit Expenses,492.63,560.18,545.80,497.91,433.38,
14,Finance Costs,16.17,20.25,16.20,14.83,16.78,
15,Depreciation And Amortisation Expenses,125.52,118.66,110.32,93.79,84.78,
16,Other Expenses,496.52,643.42,635.64,594.04,567.66,
17,Total Expenses,3891.43,4710.36,4921.42,4458.67,4377.08,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",807.96,778.91,1030.35,852.30,908.24,
19,Exceptional Items,0.00,-19.85,0.00,56.12,0.00,
20,Profit/Loss Before Tax,807.96,759.06,1030.35,908.42,908.24,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,190.09,142.53,293.84,188.74,171.78,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,-12.81,13.94,9.21,-6.17,
25,Tax For Earlier Years,0.00,0.00,0.00,2.00,8.00,
26,Total Tax Expenses,190.09,129.72,307.78,199.95,173.61,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,617.87,629.34,722.57,708.47,734.63,
28,Profit/Loss From Continuing Operations,617.87,629.34,722.57,708.47,734.63,
29,Profit/Loss For The Period,617.87,629.34,722.57,708.47,734.63,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),22.29,22.70,26.07,25.56,26.50,
33,Diluted EPS (Rs.),22.29,22.70,26.07,25.56,26.50,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,471.24,471.24,138.60,138.60,
42,Tax On Dividend,0.00,96.87,96.87,28.22,28.22,
43,Equity Dividend Rate (%),750.00,700.00,850.00,750.00,700.00,
