,0,1,2,3,4,5,6
0,Profit & Loss account of Dabur India (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],7184.73,6241.09,6189.54,5552.26,5357.84,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,16.77,79.19,
5,Revenue From Operations [Net],7184.73,6241.09,6189.54,5535.49,5278.65,
6,Total Operating Revenues,7184.73,6309.80,6273.19,5592.29,5290.65,
7,Other Income,276.65,276.90,274.74,283.23,274.64,
8,Total Revenue,7461.38,6586.70,6547.93,5875.52,5565.29,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,2756.03,2449.37,2262.51,2060.26,1843.18,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",-176.71,-69.89,10.09,-74.03,-8.19,
13,Employee Benefit Expenses,655.82,578.26,572.33,461.13,425.30,
14,Finance Costs,9.14,19.27,29.80,21.89,16.23,
15,Depreciation And Amortisation Expenses,143.40,129.93,108.83,102.50,75.43,
16,Other Expenses,1272.89,1106.07,1076.11,999.64,974.39,
17,Total Expenses,5778.07,5078.23,5044.58,4487.85,4270.94,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",1683.31,1508.47,1503.35,1387.67,1294.35,
19,Exceptional Items,0.00,-100.00,0.00,-14.54,0.00,
20,Profit/Loss Before Tax,1683.31,1408.47,1503.35,1373.13,1294.35,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,301.42,425.40,369.28,340.33,310.83,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,-187.28,-130.22,-39.25,-14.81,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,301.42,238.12,239.06,301.08,296.02,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,1381.89,1170.35,1264.29,1072.05,998.33,
28,Profit/Loss From Continuing Operations,1381.89,1170.35,1264.29,1072.05,998.33,
29,Profit/Loss For The Period,1381.89,1170.35,1264.29,1072.05,998.33,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),7.82,6.62,7.16,6.09,5.67,
33,Diluted EPS (Rs.),0.00,6.60,7.13,6.06,5.64,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,617.78,1597.01,477.03,396.34,
42,Tax On Dividend,0.00,0.00,0.00,0.00,80.69,
43,Equity Dividend Rate (%),475.00,300.00,275.00,750.00,225.00,
