,0,1,2,3,4,5,6
0,Profit & Loss account of Deepak Fertilizers and Petrochemicals Coprn (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],1811.31,1707.21,3144.69,3206.53,2141.03,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,26.94,100.31,
5,Revenue From Operations [Net],1811.31,1707.21,3144.69,3179.59,2040.72,
6,Total Operating Revenues,1811.31,1707.75,3148.88,3187.27,2056.62,
7,Other Income,45.90,67.72,23.59,66.42,14.99,
8,Total Revenue,1857.21,1775.47,3172.47,3253.69,2071.61,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,670.56,740.03,880.19,804.30,588.73,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",-21.36,37.37,82.07,-73.66,42.70,
13,Employee Benefit Expenses,88.05,68.44,60.42,64.42,59.32,
14,Finance Costs,86.60,85.25,80.18,70.68,53.02,
15,Depreciation And Amortisation Expenses,72.98,72.28,48.04,50.50,52.92,
16,Other Expenses,158.95,129.46,156.51,171.05,144.58,
17,Total Expenses,1584.85,1753.54,3161.33,3122.76,1934.60,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",272.36,21.93,11.14,130.93,137.01,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,272.36,21.93,11.14,130.93,137.01,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,63.37,0.00,3.14,22.21,38.23,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,-8.78,0.08,-4.17,8.48,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,63.37,-8.78,3.22,18.04,46.71,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,208.99,30.71,7.92,112.89,90.30,
28,Profit/Loss From Continuing Operations,208.99,30.71,7.92,112.89,90.30,
29,Profit/Loss For The Period,208.99,30.71,7.92,112.89,90.30,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),21.65,3.46,0.90,12.80,10.24,
33,Diluted EPS (Rs.),20.95,3.46,0.90,12.80,10.24,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,26.46,52.92,52.92,0.00,
42,Tax On Dividend,0.00,5.44,10.88,10.54,0.00,
43,Equity Dividend Rate (%),75.00,30.00,30.00,60.00,60.00,
