,0,1,2,3,4,5,6
0,Profit & Loss account of Deepak Nitrite (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],1809.14,2196.00,1767.77,1438.47,1298.13,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,24.25,82.80,
5,Revenue From Operations [Net],1809.14,2196.00,1767.77,1414.22,1215.33,
6,Total Operating Revenues,1809.14,2229.66,1791.92,1454.98,1232.47,
7,Other Income,13.54,7.58,2.60,11.70,9.15,
8,Total Revenue,1822.68,2237.24,1794.51,1466.68,1241.62,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,778.25,1030.48,1168.79,959.81,808.45,
11,Operating And Direct Expenses,0.00,16.03,12.47,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",-7.36,3.30,-51.67,0.59,0.17,
13,Employee Benefit Expenses,181.05,174.97,158.60,132.06,118.90,
14,Finance Costs,4.12,20.32,42.85,40.34,30.89,
15,Depreciation And Amortisation Expenses,66.88,77.93,52.88,51.95,47.60,
16,Other Expenses,321.13,208.18,198.10,159.85,161.71,
17,Total Expenses,1344.07,1531.21,1582.01,1344.60,1167.71,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",478.61,706.03,212.50,122.08,73.92,
19,Exceptional Items,0.00,0.00,0.00,0.00,74.97,
20,Profit/Loss Before Tax,478.61,706.03,212.50,122.08,148.88,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,123.89,192.08,48.64,25.95,31.88,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,-30.09,25.81,15.56,6.36,
25,Tax For Earlier Years,0.00,0.00,0.00,-2.89,0.00,
26,Total Tax Expenses,123.89,161.99,74.46,38.63,38.24,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,354.72,544.04,138.04,83.46,110.64,
28,Profit/Loss From Continuing Operations,354.72,544.04,138.04,83.46,110.64,
29,Profit/Loss For The Period,354.72,544.04,138.04,83.46,110.64,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),26.01,39.89,10.12,6.34,9.43,
33,Diluted EPS (Rs.),26.01,39.89,10.12,6.34,9.43,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,88.66,17.73,15.69,13.95,
42,Tax On Dividend,0.00,18.23,3.64,3.19,2.84,
43,Equity Dividend Rate (%),275.00,225.00,100.00,65.00,60.00,
