,0,1,2,3,4,5,6,7
0,3M India,26605.10,1.31,373,26566.75,26603.15,1.00,1.00
1,Aarti Ind,1695.40,1.16,67978,1693.00,1694.00,1.00,74.00
2,AAVAS Financier,2315.95,0.51,1958,2314.60,2316.00,10.00,50.00
3,AB Capital,122.20,-1.29,477025,122.45,122.50,592.00,28440.00
4,ABB India,1679.50,-0.87,19784,1677.25,1678.45,8.00,4.00
5,Abbott India,15949.10,-0.19,609,15921.20,15934.85,1.00,5.00
6,ACC,2033.40,0.30,38431,2032.60,2033.40,227.00,30.00
7,Adani Green Ene,1292.00,0.32,68260,1290.25,1291.00,24.00,4.00
8,Adani Ports,830.00,0.48,1871159,829.25,829.30,396.00,132.00
9,Adani Power,100.60,-0.35,3177300,100.40,100.45,4264.00,101.00
10,Adani Total Gas,1640.80,1.27,286423,1640.10,1641.00,1.00,14.00
11,Adani Trans,1614.60,2.33,136241,1614.60,1615.00,43.00,1427.00
12,Aditya Birla F,207.25,5.30,1803644,207.60,207.75,310.00,224.00
13,Advanced Enzyme,416.40,0.11,17733,416.45,416.90,35.00,23.00
14,Aegis Logistics,373.65,-0.25,50930,373.40,373.90,49.00,148.00
15,Affle India,5425.00,0.67,7014,5410.85,5419.50,3.00,13.00
16,AFL,146.10,-1.18,95894,145.80,146.15,64.00,77.00
17,AIA Engineering,1960.00,0.56,1527,1958.70,1960.00,43.00,71.00
18,Ajanta Pharma,1943.95,0.68,3184,1942.80,1944.85,1.00,5.00
19,Akzo Nobel,2286.05,0.52,520,2281.75,2286.60,1.00,1.00
20,Alembic Pharma,941.00,-1.03,43855,943.80,944.00,50.00,119.00
21,Alkem Lab,3189.95,0.32,12747,3186.00,3188.50,65.00,5.00
22,Alkyl Amines,3590.10,-0.17,5965,3588.80,3594.45,5.00,12.00
23,Allcargo,133.70,-0.07,24492,133.60,133.75,250.00,2.00
24,Amara Raja Batt,759.30,0.89,430513,759.40,759.50,352.00,45.00
25,Amber Enterpris,2778.60,-0.33,7078,2778.75,2781.85,8.00,18.00
26,Ambuja Cements,336.35,0.72,250435,336.10,336.25,308.00,150.00
27,APL Apollo,1365.05,2.45,100760,1365.55,1367.00,120.00,25.00
28,Apollo Hospital,3405.45,-0.43,50201,3410.95,3412.00,22.00,35.00
29,Apollo Tyres,232.35,0.58,422762,232.10,232.20,506.00,255.00
30,Asahi India,344.80,0.50,25906,344.30,344.35,46.00,40.00
31,Ashok Leyland,125.20,0.72,1299536,125.15,125.25,5854.00,2151.00
32,Ashoka Buildcon,94.45,0.75,77920,94.20,94.30,800.00,2000.00
33,Asian Paints,2950.00,0.52,122314,2950.20,2950.65,25.00,300.00
34,Aster DM Health,147.50,0.68,85752,147.50,147.60,519.00,1513.00
35,Astral Ltd,1901.50,0.50,23698,1900.00,1901.40,197.00,4.00
