,0,1,2,3,4,5,6,7
0,3M India,25474.45,0.96,439,0.00,0.00,0.00,0.00
1,Aarti Drugs,727.20,0.41,55582,0.00,0.00,0.00,0.00
2,Aarti Ind,1676.45,0.91,39068,0.00,0.00,0.00,0.00
3,AAVAS Financier,2314.05,0.10,12914,0.00,0.00,0.00,0.00
4,AB Capital,121.15,-1.82,358304,0.00,0.00,0.00,0.00
5,ABB India,1667.90,4.85,75026,0.00,0.00,0.00,0.00
6,ABB Power Produ,1940.95,1.29,2150,0.00,0.00,0.00,0.00
7,Abbott India,16009.65,-0.66,888,0.00,0.00,0.00,0.00
8,ACC,1985.95,0.06,14844,0.00,0.00,0.00,0.00
9,Adani Enterpris,1315.75,1.02,143765,0.00,0.00,0.00,0.00
10,Adani Green Ene,1267.25,2.18,82854,0.00,0.00,0.00,0.00
11,Adani Ports,769.65,-0.84,317311,0.00,0.00,0.00,0.00
12,Adani Power,92.50,0.60,940959,0.00,0.00,0.00,0.00
13,Adani Total Gas,1349.00,0.62,42755,0.00,0.00,0.00,0.00
14,Adani Trans,1474.55,2.08,35436,0.00,0.00,0.00,0.00
15,Aditya Birla F,195.15,2.15,328774,0.00,0.00,0.00,0.00
16,Advanced Enzyme,427.75,-6.59,131150,0.00,0.00,0.00,0.00
17,Aegis Logistics,358.65,5.52,101482,0.00,0.00,0.00,0.00
18,Affle India,5305.80,1.53,28768,0.00,0.00,0.00,0.00
19,AIA Engineering,1931.90,-1.77,3346,0.00,0.00,0.00,0.00
20,Ajanta Pharma,1920.65,-2.62,6491,0.00,0.00,0.00,0.00
21,Akzo Nobel,2278.30,0.03,961,0.00,0.00,0.00,0.00
22,Alembic Pharma,950.85,1.01,14391,0.00,0.00,0.00,0.00
23,Alkem Lab,2984.90,0.61,12120,0.00,0.00,0.00,0.00
24,Alkyl Amines,3664.65,-3.47,21400,0.00,0.00,0.00,0.00
25,Allcargo,135.90,4.58,80215,0.00,0.00,0.00,0.00
26,Alok Industries,20.65,-0.96,1116777,0.00,0.00,0.00,0.00
27,Amara Raja Batt,741.70,-0.17,142985,0.00,0.00,0.00,0.00
28,Amber Enterpris,2728.50,-0.98,5804,0.00,0.00,0.00,0.00
29,Ambuja Cements,326.65,0.37,239531,0.00,0.00,0.00,0.00
30,APL Apollo,1301.95,0.12,5154,0.00,0.00,0.00,0.00
31,Apollo Hospital,3170.05,1.00,40855,0.00,0.00,0.00,0.00
32,Apollo Tyres,222.05,-0.60,119549,0.00,0.00,0.00,0.00
33,Ashok Leyland,123.45,-0.40,496942,0.00,0.00,0.00,0.00
34,Ashoka Buildcon,93.95,0.91,276472,0.00,0.00,0.00,0.00
35,Asian Paints,2978.15,1.19,112866,0.00,0.00,0.00,0.00
36,Aster DM Health,146.65,-0.47,38304,0.00,0.00,0.00,0.00
37,Astral Ltd,1875.65,-0.36,10044,0.00,0.00,0.00,0.00
38,AstraZeneca,3774.20,-0.17,3778,0.00,0.00,0.00,0.00
39,Atul,8589.35,1.02,633,0.00,0.00,0.00,0.00
40,AU Small Financ,987.20,-0.86,55738,0.00,0.00,0.00,0.00
41,Aurobindo Pharm,997.75,-2.36,274044,0.00,0.00,0.00,0.00
42,Avanti Feeds,596.35,3.47,100423,0.00,0.00,0.00,0.00
43,Avenue Supermar,3070.30,1.73,15052,0.00,0.00,0.00,0.00
44,Axis Bank,750.25,1.39,404973,0.00,0.00,0.00,0.00
45,Bajaj Auto,4189.50,-0.04,15759,0.00,0.00,0.00,0.00
46,Bajaj Consumer,288.20,0.10,71630,0.00,0.00,0.00,0.00
47,Bajaj Electric,1054.20,-2.72,21513,0.00,0.00,0.00,0.00
48,Bajaj Finance,5621.15,0.21,54383,0.00,0.00,0.00,0.00
49,Bajaj Finserv,11796.80,0.75,8531,0.00,0.00,0.00,0.00
50,Bajaj Holdings,3550.15,0.75,1827,0.00,0.00,0.00,0.00
51,Balkrishna Ind,2200.70,0.35,13198,0.00,0.00,0.00,0.00
52,Balmer Lawrie,136.55,0.33,62361,0.00,0.00,0.00,0.00
53,Balrampur Chini,304.05,2.37,251685,0.00,0.00,0.00,0.00
54,Bandhan Bank,307.35,1.37,289245,0.00,0.00,0.00,0.00
55,Bank of Baroda,80.70,-3.76,7041465,0.00,0.00,0.00,0.00
56,Bank of India,77.15,-0.45,320994,0.00,0.00,0.00,0.00
57,Bank of Mah,24.30,-0.61,368087,0.00,0.00,0.00,0.00
58,BASF,2420.35,2.26,6863,0.00,0.00,0.00,0.00
59,Bata India,1546.10,0.14,20805,0.00,0.00,0.00,0.00
60,Bayer CropScien,5301.00,0.48,1358,0.00,0.00,0.00,0.00
61,BEML,1302.95,-1.00,45177,0.00,0.00,0.00,0.00
62,Berger Paints,805.40,0.34,36196,0.00,0.00,0.00,0.00
63,Bharat Dynamics,360.95,0.94,11184,0.00,0.00,0.00,0.00
64,Bharat Elec,145.35,0.38,379716,0.00,0.00,0.00,0.00
65,Bharat Forge,678.95,0.28,66857,0.00,0.00,0.00,0.00
66,Bharti Airtel,534.95,2.16,927325,0.00,0.00,0.00,0.00
67,BHEL,71.05,-1.11,2595770,0.00,0.00,0.00,0.00
68,Biocon,387.60,1.40,268638,0.00,0.00,0.00,0.00
69,Birla Corp,1255.40,3.22,8706,0.00,0.00,0.00,0.00
70,Birlasoft,317.15,-1.49,141311,0.00,0.00,0.00,0.00
71,Bliss GVS,107.55,-0.05,19337,0.00,0.00,0.00,0.00
72,Blue Dart,6013.45,-1.42,2362,0.00,0.00,0.00,0.00
73,Blue Star,823.85,-0.39,9031,0.00,0.00,0.00,0.00
74,Bombay Burmah,1300.00,1.19,16806,0.00,0.00,0.00,0.00
75,Bombay Dyeing,79.70,-0.06,402826,0.00,0.00,0.00,0.00
76,Bosch,15242.00,0.98,4225,0.00,0.00,0.00,0.00
77,BPCL,472.00,0.08,560544,0.00,0.00,0.00,0.00
78,Brigade Ent,259.50,-3.26,8792,0.00,0.00,0.00,0.00
79,Britannia,3447.70,0.76,19876,0.00,0.00,0.00,0.00
80,Cadila Health,618.30,-0.44,205182,0.00,0.00,0.00,0.00
81,Can Fin Homes,548.00,3.09,212117,0.00,0.00,0.00,0.00
82,Canara Bank,160.75,-0.68,1262395,0.00,0.00,0.00,0.00
83,Caplin Labs,596.55,0.57,21178,0.00,0.00,0.00,0.00
84,Capri Global,460.70,-0.26,75993,0.00,0.00,0.00,0.00
85,Carborundum,597.90,-0.35,8153,0.00,0.00,0.00,0.00
86,CARE Ratings,587.60,2.19,57701,0.00,0.00,0.00,0.00
87,Castrol,134.35,-0.26,101571,0.00,0.00,0.00,0.00
88,CCL Products,350.65,-3.85,81569,0.00,0.00,0.00,0.00
89,Ceat,1321.55,-0.07,15654,0.00,0.00,0.00,0.00
90,Central Bank,18.95,-1.81,1310469,0.00,0.00,0.00,0.00
91,Century,502.80,0.21,50831,0.00,0.00,0.00,0.00
92,CenturyPlyboard,397.85,-3.35,37873,0.00,0.00,0.00,0.00
93,Cera Sanitary,3991.00,-0.26,541,0.00,0.00,0.00,0.00
94,CESC,684.80,2.61,27439,0.00,0.00,0.00,0.00
95,CG Consumer,398.40,1.50,28768,0.00,0.00,0.00,0.00
96,Chalet Hotels,176.65,-0.87,60949,0.00,0.00,0.00,0.00
97,Chambal Fert,288.50,1.53,62046,0.00,0.00,0.00,0.00
98,Chennai Petro,132.00,-1.09,86803,0.00,0.00,0.00,0.00
99,Chola Fin Hold,637.00,-1.08,5916,0.00,0.00,0.00,0.00
