,0,1,2,3,4,5,6,7
0,Ashok Leyland,124.35,-1.66,1360676,124.60,124.80,4170.00,456.00
1,Bajaj Auto,4200.30,-1.08,9427,4190.00,4209.45,2.00,1.00
2,Balkrishna Ind,2189.95,-0.12,8865,2175.00,2189.95,1.00,150.00
3,Bosch,15094.00,0.15,1517,15075.10,15099.95,1.00,1.00
4,Eicher Motors,2638.05,1.26,122264,2636.00,2640.00,340.00,5.00
5,Escorts,1162.05,1.63,167656,1162.05,1162.75,22.00,133.00
6,Exide Ind,191.95,1.64,180080,191.95,191.95,20.00,20.00
7,Hero Motocorp,2990.85,-0.12,60624,2993.00,2998.00,33.00,1.00
8,M&M,846.20,2.13,401258,846.20,846.20,97.00,1.00
9,Maruti Suzuki,6955.95,-0.12,13814,6955.95,6969.55,1.00,1.00
10,Motherson Sumi,235.20,0.88,617796,235.20,235.20,470.00,78.00
11,MRF,83349.00,0.62,653,83150.00,83349.00,2.00,1.00
12,Tata Motors,318.95,0.11,1491332,319.00,320.00,45.00,223.00
13,TVS Motor,619.40,-4.75,190558,619.40,619.40,50.00,15.00
14,Company,LTP,%Change,Volume,Buy Price,Sell Price,Buy Qty,Sell Qty
