,0,1,2,3,4,5,6,7
0,3i Infotech,8.99,-3.33,4200439,9.00,9.03,3348.00,262.00
1,63 Moons Tech,88.85,-4.46,13386,88.85,89.95,1.00,200.00
2,Aarti Drugs,724.25,-0.96,63550,724.25,726.00,3.00,25.00
3,Aarti Ind,1661.40,0.08,44743,1661.40,1661.40,1.00,2.00
4,Aarti Surfactan,1427.70,-2.93,5147,1425.00,1447.00,1.00,30.00
5,AAVAS Financier,2311.80,1.09,1963,2293.00,2380.00,20.00,1.00
6,AB Money,47.30,-0.42,20598,47.05,48.00,1000.00,210.00
7,ABB Power Produ,1916.20,-0.35,3168,1900.00,1916.20,13.00,20.00
8,Accelya Kale,1056.85,6.31,19393,1052.50,1059.00,3.00,20.00
9,Action Const,168.50,3.22,94626,168.50,168.50,120.00,80.00
10,Adani Total Gas,1340.65,0.02,55947,1340.65,1345.00,102.00,10.00
11,ADF Foods,966.60,-1.02,10271,966.60,966.60,198.00,2.00
12,Advanced Enzyme,457.95,-3.29,23035,455.50,457.95,60.00,2.00
13,Aegis Logistics,339.90,-5.52,62336,339.00,339.50,355.00,195.00
14,Affle India,5225.70,-0.74,2059,5220.00,5225.70,1.00,10.00
15,AFL,146.95,1.87,97626,145.25,146.95,303.00,1112.00
16,Agro Tech Foods,979.45,-2.70,2663,972.00,992.00,1.00,5.00
17,AIA Engineering,1952.65,1.03,392,1945.00,1956.00,10.00,2.00
18,Ajmera Realty,145.20,-4.38,11524,145.20,145.20,398.00,2.00
19,Akzo Nobel,2277.65,0.12,558,2277.65,2277.65,9.00,1.00
20,Alankit,18.50,2.38,146168,18.50,18.50,500.00,1000.00
21,Albert David,464.70,-2.20,11372,464.70,464.70,167.00,133.00
22,Alembic,129.25,-3.00,528421,129.25,129.25,6.00,4.00
23,Alembic Pharma,941.95,-0.89,13383,941.00,941.95,19.00,1.00
24,Alkyl Amines,3796.30,-1.66,14460,3782.00,3810.00,1.00,5.00
25,Allcargo,129.95,-0.08,19368,129.95,129.95,48.00,2.00
26,Alok Industries,20.85,-3.25,1141270,20.85,20.85,4440.00,100.00
