,0,1,2,3,4,5,6,7
0,Asian Paints,2939.95,-0.38,52242,2931.65,2939.95,2.00,49.00
1,Axis Bank,739.95,-1.37,325606,742.00,745.00,252.00,83.00
2,Bajaj Auto,4200.30,-1.08,9427,4190.00,4209.45,2.00,1.00
3,Bajaj Finance,5609.55,-1.30,94550,5614.00,5622.00,4.00,1.00
4,Bajaj Finserv,11712.55,-1.44,12673,11685.00,11712.55,3.00,1.00
5,Bharti Airtel,523.65,0.71,567586,523.65,523.65,440.00,1.00
6,Dr Reddys Labs,5199.65,-1.31,77290,5199.65,5205.95,24.00,2.00
7,HCL Tech,943.65,0.24,138364,943.65,943.65,507.00,5.00
8,HDFC,2540.95,1.35,119028,2540.95,2543.85,330.00,1.00
9,HDFC Bank,1501.15,1.47,166729,1501.15,1507.00,2244.00,10.00
10,HUL,2322.80,-0.21,51855,2323.25,2329.00,11.00,2.00
11,ICICI Bank,643.20,-1.46,541693,643.20,643.20,2530.00,323.00
12,IndusInd Bank,1018.85,1.20,156524,1018.85,1020.00,127.00,14.00
13,Infosys,1404.80,0.01,418799,1404.80,1408.00,312.00,79.00
14,ITC,212.85,0.78,1804732,212.85,212.85,1425.00,278.00
15,Kotak Mahindra,1800.10,1.23,187790,1797.00,1800.10,2.00,11.00
16,Larsen,1477.20,-0.37,92443,1474.00,1477.20,10.00,95.00
17,M&M,846.20,2.13,401258,846.20,846.20,97.00,1.00
18,Maruti Suzuki,6955.95,-0.12,13814,6955.95,6969.55,1.00,1.00
19,Nestle,17507.60,-1.49,2812,17507.60,17507.60,1.00,1.00
20,NTPC,108.95,-1.13,460444,108.95,109.30,1.00,30.00
21,ONGC,112.40,0.54,1022443,112.50,113.00,1559.00,102.00
22,Power Grid Corp,225.55,-1.27,182779,225.75,226.50,71.00,49.00
23,Reliance,2094.90,5.90,2158323,2094.90,2094.90,202.00,12.00
24,SBI,422.05,-0.76,4506252,422.05,422.05,2389.00,105.00
25,Sun Pharma,669.65,-4.30,1451657,671.50,673.00,9.00,45.00
26,TCS,3144.10,-1.14,90237,3144.10,3144.10,7.00,53.00
27,Tech Mahindra,1026.15,0.64,61795,1020.00,1026.15,20.00,4.00
28,Titan Company,1577.15,-1.06,38266,1577.15,1585.00,41.00,5.00
29,UltraTechCement,6597.00,-1.24,17163,6597.00,6650.00,63.00,47.00
30,Company,LTP,%Change,Volume,Buy Price,Sell Price,Buy Qty,Sell Qty
