,0,1,2,3,4,5,6
0,Balance Sheet of Axis Bank (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,EQUITIES AND LIABILITIES,,,,,,
3,SHAREHOLDER'S FUNDS,,,,,,
4,Equity Share Capital,612.75,564.34,514.33,513.31,479.01,
5,Total Share Capital,612.75,564.34,514.33,513.31,479.01,
6,Revaluation Reserve,0.00,0.00,0.00,0.00,0.00,
7,Reserves and Surplus,100990.26,84383.51,66161.97,62931.95,55283.53,
8,Total Reserves and Surplus,100990.26,84383.51,66161.97,62931.95,55283.53,
9,Total ShareHolders Funds,101603.01,84947.84,66676.30,63445.26,55762.54,
10,Deposits,707306.08,640104.94,548471.34,453622.72,414378.79,
11,Borrowings,142873.16,147954.13,152775.78,148016.14,105030.87,
12,Other Liabilities and Provisions,44336.17,42157.90,33073.12,26245.45,26295.47,
13,Total Capital and Liabilities,996118.42,915164.82,800996.53,691329.58,601467.67,
14,ASSETS,,,,,,
15,Cash and Balances with Reserve Bank of India,51808.56,84959.24,35099.03,35481.06,30857.94,
16,Balances with Banks Money at Call and Short Notice,9921.26,12309.04,32105.60,7973.83,19398.24,
17,Investments,226119.62,156734.32,174969.28,153876.08,128793.37,
18,Advances,623720.19,571424.16,494797.97,439650.30,373069.35,
19,Fixed Assets,4245.03,4312.90,4036.64,3971.68,3746.89,
20,Other Assets,80303.76,85425.16,59988.01,50376.62,45601.87,
21,Total Assets,996118.42,915164.82,800996.53,691329.58,601467.67,
22,OTHER ADDITIONAL INFORMATION,,,,,,
23,Number of Branches,0.00,4528.00,4050.00,3703.00,3304.00,
24,Number of Employees,0.00,74140.00,61940.00,59614.00,56617.00,
25,Capital Adequacy Ratios (%),19.12,18.00,16.00,17.00,15.00,
26,KEY PERFORMANCE INDICATORS,,,,,,
27,Tier 1 (%),0.00,14.00,13.00,13.00,12.00,
28,Tier 2 (%),0.00,3.00,3.00,4.00,3.00,
29,ASSETS QUALITY,,,,,,
30,Gross NPA,25314.84,30233.82,29789.00,34248.64,21280.48,
31,Gross NPA (%),4.00,5.00,5.00,7.00,5.00,
32,Net NPA,6993.52,20802.68,18351.00,16592.00,8626.60,
33,Net NPA (%),1.05,1.56,2.00,4.00,2.00,
34,Net NPA To Advances (%),1.00,2.00,2.00,4.00,2.00,
35,"CONTINGENT LIABILITIES, COMMITMENTS",,,,,,
36,Bills for Collection,0.00,47842.76,51972.86,49565.60,81055.36,
37,Contingent Liabilities,0.00,922968.76,755765.27,0.00,0.00,
