,0,1,2,3,4,5,6
0,Balance Sheet of Central Bank of India (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,EQUITIES AND LIABILITIES,,,,,,
3,SHAREHOLDER'S FUNDS,,,,,,
4,Equity Share Capital,5709.76,4047.20,2618.16,1902.17,1689.71,
5,Total Share Capital,5709.76,4047.20,2618.16,1902.17,1689.71,
6,Revaluation Reserve,0.00,0.00,0.00,0.00,3292.35,
7,Reserves and Surplus,15719.71,14887.66,15367.38,15365.97,12697.08,
8,Total Reserves and Surplus,15719.71,14887.66,15367.38,15365.97,15989.43,
9,Total ShareHolders Funds,21429.47,18934.86,17985.53,17268.14,17679.14,
10,Deposits,313763.16,299855.44,294838.86,296671.19,266184.19,
11,Borrowings,5787.20,5239.06,5706.12,9282.45,9207.89,
12,Other Liabilities and Provisions,15456.02,6475.77,7694.77,9497.17,11859.88,
13,Total Capital and Liabilities,356435.86,330717.66,326225.28,333401.94,305466.10,
14,ASSETS,,,,,,
15,Cash and Balances with Reserve Bank of India,30021.75,20779.09,35999.91,75086.76,14069.51,
16,Balances with Banks Money at Call and Short Notice,6017.29,10420.85,3228.53,3679.78,1471.54,
17,Investments,142517.54,125298.07,102631.61,92094.88,88867.54,
18,Advances,151100.88,146525.36,156542.18,139398.77,180009.59,
19,Fixed Assets,4336.18,4310.24,4343.38,4290.37,4359.29,
20,Other Assets,22442.21,23384.06,23479.67,18851.39,16688.64,
21,Total Assets,356435.86,330717.66,326225.28,333401.94,305466.10,
22,OTHER ADDITIONAL INFORMATION,,,,,,
23,Number of Branches,4651.00,4659.00,4685.00,4714.00,4728.00,
24,Number of Employees,33481.00,35675.00,36843.00,37044.00,37685.00,
25,Capital Adequacy Ratios (%),12.00,10.00,9.04,10.95,10.00,
26,KEY PERFORMANCE INDICATORS,,,,,,
27,Tier 1 (%),9.00,7.00,7.01,8.62,8.00,
28,Tier 2 (%),2.00,2.00,2.03,2.33,2.00,
29,ASSETS QUALITY,,,,,,
30,Gross NPA,32589.08,32356.04,0.00,27251.33,22721.00,
31,Gross NPA (%),19.00,19.00,21.00,18.00,12.00,
32,Net NPA,11534.46,11333.24,0.00,14217.83,13242.00,
33,Net NPA (%),7.63,8.00,11.10,10.20,7.00,
34,Net NPA To Advances (%),8.00,8.00,11.00,10.00,7.00,
35,"CONTINGENT LIABILITIES, COMMITMENTS",,,,,,
36,Bills for Collection,14276.74,16247.39,1448606.70,9168.94,23947.97,
37,Contingent Liabilities,56184.69,86668.20,0.00,0.00,64693.05,
