,0,1,2,3,4,5,6
0,Balance Sheet of Indian Bank (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,EQUITIES AND LIABILITIES,,,,,,
3,SHAREHOLDER'S FUNDS,,,,,,
4,Equity Share Capital,1129.37,608.80,480.29,480.29,480.29,
5,Total Share Capital,1129.37,608.80,480.29,480.29,480.29,
6,Revaluation Reserve,0.00,2987.84,3095.04,2621.44,2700.42,
7,Reserves and Surplus,37282.58,18492.62,15813.36,15346.69,13981.30,
8,Total Reserves and Surplus,37282.58,21480.47,18908.40,17968.13,16681.72,
9,Total ShareHolders Funds,38411.94,22089.27,19388.69,18448.42,17162.01,
10,Deposits,538071.11,260225.90,242075.95,208294.22,182509.28,
11,Borrowings,26174.60,20830.31,12137.54,19760.17,12636.89,
12,Other Liabilities and Provisions,23347.36,6322.70,6463.09,6213.01,5924.97,
13,Total Capital and Liabilities,626005.02,309468.17,280065.27,252715.82,218233.15,
14,ASSETS,,,,,,
15,Cash and Balances with Reserve Bank of India,27545.08,5736.12,11701.86,10501.60,5588.70,
16,Balances with Banks Money at Call and Short Notice,26514.80,8188.56,8318.52,2426.19,4453.02,
17,Investments,176536.97,81241.69,64992.17,71397.77,67551.79,
18,Advances,364010.24,197887.01,181261.91,156568.93,127699.28,
19,Fixed Assets,7376.31,3895.74,3961.40,3418.35,3442.60,
20,Other Assets,24021.62,12519.05,9829.40,8402.99,9497.75,
21,Total Assets,626005.02,309468.17,280065.27,252715.82,218233.15,
22,OTHER ADDITIONAL INFORMATION,,,,,,
23,Number of Branches,0.00,2890.00,2875.00,2820.00,2682.00,
24,Number of Employees,0.00,18758.00,19604.00,20065.00,20924.00,
25,Capital Adequacy Ratios (%),15.71,14.12,13.00,13.00,14.00,
26,KEY PERFORMANCE INDICATORS,,,,,,
27,Tier 1 (%),0.00,12.08,11.00,11.00,12.00,
28,Tier 2 (%),0.00,2.04,2.00,1.00,1.00,
29,ASSETS QUALITY,,,,,,
30,Gross NPA,38455.35,14150.84,13353.45,11990.14,9865.14,
31,Gross NPA (%),10.00,7.00,7.00,7.00,7.00,
32,Net NPA,12271.13,6184.24,6793.11,5959.56,56096.57,
33,Net NPA (%),3.37,3.13,4.00,4.00,4.00,
34,Net NPA To Advances (%),1.00,3.00,4.00,4.00,4.00,
35,"CONTINGENT LIABILITIES, COMMITMENTS",,,,,,
36,Bills for Collection,0.00,599.50,5394.56,4607.55,3230.56,
37,Contingent Liabilities,0.00,42576.86,36194.11,33703.86,29362.30,
