,0,1,2,3,4,5,6
0,Balance Sheet of Indian Overseas Bank (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,EQUITIES AND LIABILITIES,,,,,,
3,SHAREHOLDER'S FUNDS,,,,,,
4,Equity Share Capital,16436.99,9141.65,4890.77,2454.73,1807.27,
5,Total Share Capital,16436.99,9141.65,4890.77,2454.73,1807.27,
6,Revaluation Reserve,0.00,0.00,0.00,2165.44,2411.61,
7,Reserves and Surplus,-282.01,7218.23,8383.21,9124.38,11446.94,
8,Total Reserves and Surplus,-282.01,7218.23,8383.21,11289.82,13858.55,
9,Total ShareHolders Funds,16154.98,16359.88,13273.98,13744.55,15665.82,
10,Deposits,222951.88,222534.08,216831.81,211342.63,224514.24,
11,Borrowings,5419.73,6146.04,9228.08,16097.67,27183.31,
12,Other Liabilities and Provisions,16200.24,4968.36,8634.24,5982.64,7073.40,
13,Total Capital and Liabilities,260726.83,250008.36,247968.11,247167.49,274436.76,
14,ASSETS,,,,,,
15,Cash and Balances with Reserve Bank of India,3155.22,10292.53,11579.45,11499.97,14033.49,
16,Balances with Banks Money at Call and Short Notice,20905.43,20598.97,14965.54,11723.07,8212.74,
17,Investments,79416.08,66932.27,68645.94,71549.19,79189.55,
18,Advances,121333.41,132597.63,132488.82,140458.62,160860.67,
19,Fixed Assets,3127.34,3336.90,2893.43,3054.33,3270.46,
20,Other Assets,32789.35,16250.05,17394.93,8882.31,8869.84,
21,Total Assets,260726.83,250008.36,247968.11,247167.49,274436.76,
22,OTHER ADDITIONAL INFORMATION,,,,,,
23,Number of Branches,3270.00,3280.00,3332.00,3373.00,3397.00,
24,Number of Employees,24857.00,26354.00,27936.00,29806.00,31846.00,
25,Capital Adequacy Ratios (%),11.00,10.00,9.00,11.00,10.00,
26,KEY PERFORMANCE INDICATORS,,,,,,
27,Tier 1 (%),8.00,8.00,7.00,8.00,8.00,
28,Tier 2 (%),3.00,2.00,2.00,2.00,2.00,
29,ASSETS QUALITY,,,,,,
30,Gross NPA,19912.70,333.98,38180.15,35098.26,30048.62,
31,Gross NPA (%),15.00,22.00,25.00,22.00,17.00,
32,Net NPA,6602.80,143.68,20399.66,19749.00,19212.57,
33,Net NPA (%),5.44,10.81,15.00,14.00,12.00,
34,Net NPA To Advances (%),5.00,11.00,15.00,14.00,12.00,
35,"CONTINGENT LIABILITIES, COMMITMENTS",,,,,,
36,Bills for Collection,15348.25,15203.63,15239.38,14109.56,34982.22,
37,Contingent Liabilities,71030.57,56648.72,58366.45,68326.99,59999.85,
