,0,1,2,3,4,5,6
0,Balance Sheet of Karur Vysya Bank (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,EQUITIES AND LIABILITIES,,,,,,
3,SHAREHOLDER'S FUNDS,,,,,,
4,Equity Share Capital,159.86,159.86,159.86,145.33,121.86,
5,Total Share Capital,159.86,159.86,159.86,145.33,121.86,
6,Revaluation Reserve,0.00,0.00,0.00,0.00,0.00,
7,Reserves and Surplus,6799.88,6440.41,6262.94,6118.86,4913.83,
8,Total Reserves and Surplus,6799.88,6440.41,6262.94,6118.86,4913.83,
9,Total ShareHolders Funds,6959.74,6600.28,6422.80,6264.19,5035.70,
10,Deposits,63278.43,59075.08,59867.95,56890.09,53699.81,
11,Borrowings,2528.29,1184.18,1565.34,2381.67,1695.65,
12,Other Liabilities and Provisions,1856.73,1418.64,1484.02,1393.17,1376.46,
13,Total Capital and Liabilities,74623.19,68278.17,69340.11,66929.12,61807.62,
14,ASSETS,,,,,,
15,Cash and Balances with Reserve Bank of India,3124.05,2732.67,2934.68,2960.07,2790.47,
16,Balances with Banks Money at Call and Short Notice,3196.29,1659.88,762.36,1336.83,1554.62,
17,Investments,16018.93,15762.45,14881.59,15803.21,14857.48,
18,Advances,50363.50,46098.11,48580.81,44800.15,40907.72,
19,Fixed Assets,539.06,586.64,582.99,528.19,418.61,
20,Other Assets,1381.36,1438.43,1597.68,1500.67,1278.71,
21,Total Assets,74623.19,68278.17,69340.11,66929.12,61807.62,
22,OTHER ADDITIONAL INFORMATION,,,,,,
23,Number of Branches,0.00,795.00,789.00,790.00,711.00,
24,Number of Employees,0.00,7935.00,7368.00,7956.00,7400.00,
25,Capital Adequacy Ratios (%),18.98,17.17,16.00,14.00,13.00,
26,KEY PERFORMANCE INDICATORS,,,,,,
27,Tier 1 (%),0.00,15.27,14.00,14.00,12.00,
28,Tier 2 (%),0.00,1.90,2.00,1.00,1.00,
29,ASSETS QUALITY,,,,,,
30,Gross NPA,4142.87,4212.77,4449.57,3015.76,1483.81,
31,Gross NPA (%),8.00,9.00,9.00,7.00,4.00,
32,Net NPA,1719.39,1808.65,2420.34,1862.83,1033.46,
33,Net NPA (%),3.41,3.92,5.00,4.00,3.00,
34,Net NPA To Advances (%),0.00,4.00,5.00,4.00,3.00,
35,"CONTINGENT LIABILITIES, COMMITMENTS",,,,,,
36,Bills for Collection,0.00,2232.37,2341.84,2316.05,2921.43,
37,Contingent Liabilities,0.00,8437.98,10137.07,14837.61,11957.59,
