,0,1,2,3,4,5,6
0,Balance Sheet of Ujjivan Small Finance Bank (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,9 mths,
2,EQUITIES AND LIABILITIES,,,,,,
3,SHAREHOLDER'S FUNDS,,,,,,
4,Equity Share Capital,1928.31,1728.22,1440.04,1440.04,1440.04,
5,Total Share Capital,1928.31,1928.22,1640.04,1640.04,1640.04,
6,Revaluation Reserve,0.00,0.00,0.00,0.00,0.00,
7,Reserves and Surplus,1290.44,1238.08,179.59,6.90,0.04,
8,Total Reserves and Surplus,1290.44,1238.08,179.59,6.90,0.04,
9,Total ShareHolders Funds,3218.75,3187.73,1819.63,1646.93,1640.07,
10,Deposits,13135.77,10780.48,7379.44,3772.52,206.41,
11,Borrowings,3247.32,3953.27,4166.09,3852.85,6291.40,
12,Other Liabilities and Provisions,778.62,489.76,377.05,200.88,297.71,
13,Total Capital and Liabilities,20380.45,18411.23,13742.21,9473.18,8435.60,
14,ASSETS,,,,,,
15,Cash and Balances with Reserve Bank of India,1711.53,1224.87,446.46,249.63,260.93,
16,Balances with Banks Money at Call and Short Notice,865.97,118.42,648.00,245.20,501.89,
17,Investments,2516.45,2396.14,1526.62,1232.48,1446.68,
18,Advances,14493.95,14043.64,10552.45,7336.21,5861.04,
19,Fixed Assets,280.73,300.48,284.45,198.34,139.77,
20,Other Assets,511.83,327.68,284.23,211.31,225.29,
21,Total Assets,20380.45,18411.23,13742.21,9473.18,8435.60,
22,OTHER ADDITIONAL INFORMATION,,,,,,
23,Number of Branches,0.00,575.00,474.00,187.00,457.00,
24,Number of Employees,0.00,17841.00,14752.00,11242.00,10167.00,
25,Capital Adequacy Ratios (%),0.00,28.81,18.94,23.04,18.24,
26,KEY PERFORMANCE INDICATORS,,,,,,
27,Tier 1 (%),0.00,28.01,18.39,22.32,16.83,
28,Tier 2 (%),0.00,0.80,0.55,0.72,1.41,
29,ASSETS QUALITY,,,,,,
30,Gross NPA,1070.60,137.14,97.85,275.92,16.40,
31,Gross NPA (%),7.00,1.00,1.00,4.00,0.00,
32,Net NPA,424.58,27.49,27.55,224.99,14.60,
33,Net NPA (%),2.93,0.20,0.26,0.00,0.00,
34,Net NPA To Advances (%),0.00,0.00,0.00,1.00,0.00,
35,"CONTINGENT LIABILITIES, COMMITMENTS",,,,,,
36,Bills for Collection,0.00,0.00,0.00,0.00,0.00,
37,Contingent Liabilities,0.00,20.73,30.90,19.51,28.34,
