,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"19 Mar, 2021",Acquisition -  Market Purchase,IGH Holdings Private Limited,Promoter Group,Qty 526000,Price 215.93,% Traded 0.06,Post Tnx Hold. 14.19%
1,"19 Mar, 2021",Acquisition -  Market Purchase,IGH Holdings Private Limited,Promoter Group,Qty 287000,Price 211.48,% Traded 0.04,Post Tnx Hold. 14.22%
2,"19 Mar, 2021",Acquisition -  Market Purchase,IGH Holdings Private Limited,Promoter Group,Qty 697000,Price 206.34,% Traded 0.09,Post Tnx Hold. 14.29%
3,"15 Mar, 2021",Acquisition -  Market Purchase,IGH Holdings Private Limited,Promoter Group,Qty 611000,Price 213.64,% Traded 0.07,Post Tnx Hold. 14.08%
4,"15 Mar, 2021",Acquisition -  Market Purchase,IGH Holdings Private Limited,Promoter Group,Qty 520000,Price 210.78,% Traded 0.06,Post Tnx Hold. 14.13%
5,"12 Mar, 2021",Acquisition -  Market Purchase,IGH Holdings Private Limited,Promoter Group,Qty 720000,Price 215.27,% Traded 0.09,Post Tnx Hold. 13.9%
6,"01 Feb, 2021",Acquisition -  Pref. Allotment,Flipkart Investments Pvt Ltd,Other,Qty 73170731,Price 0,% Traded 7.80,Post Tnx Hold. 7.8%
7,"03 Aug, 2020",Acquisition -  Allotment,Kumar Mangalam Birla & Others,Promoter,Qty 59593649,Price 0,% Traded 6.90,Post Tnx Hold. 59.79%
8,"25 Nov, 2019",Acquisition -  Market,Reliance Capital Trustee Co Ltd A/c through various schemes of Nippon India Mutual Fund,Other,Qty 99610,Price 0,% Traded 0.01,Post Tnx Hold. 5.01%
9,"12 Jul, 2019", -,Birla Group Holdings Pvt Ltd,Other,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 0%
10,"10 Jul, 2019",Acquisition -  Scheme Of Amalgamation,Birla Group Holdings Pvt Ltd,Promoter,Qty 152733167,Price 0,% Traded 19.75,Post Tnx Hold. 22.17%
11,"10 Jul, 2019",Acquisition -  Scheme Of Amalgamation,Birla Group Holdings Pvt Ltd,Promoter,Qty 152733167,Price 0,% Traded 19.75,Post Tnx Hold. 22.17%
