,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"05 Apr, 2021",Disposal -  Market Sale,PANKAJ C MOTA,Designated Person,Qty 7000,Price 300.86,% Traded 0.00,Post Tnx Hold. 0%
1,"05 Apr, 2021",Disposal -  Market Sale,PANKAJ C MOTA (Revised),Designated Person,Qty 7000,Price 296.43,% Traded 0.00,Post Tnx Hold. 0%
2,"05 Apr, 2021",Disposal -  Market Sale,PANKAJ C MOTA,Designated Person,Qty 2500,Price 299.6,% Traded 0.00,Post Tnx Hold. 0%
3,"04 Aug, 2020",Disposal -  ESOP,Pearl Tiwari,Designated Person,Qty 9000,Price 205,% Traded 0.00,Post Tnx Hold. 0%
4,"28 Mar, 2020",Acquisition -  Market Purchase,Rajendra Chitale,Director,Qty 1950,Price 139.41,% Traded 0.00,Post Tnx Hold. 0%
5,"19 Mar, 2020",Acquisition -  Market Purchase,Rajendra Chitale,Director,Qty 500,Price 171,% Traded 0.00,Post Tnx Hold. 0%
6,"04 May, 2021",Acquisition -  Market,Life Insurance Corporation of India,Other,Qty 522000,Price 0,% Traded 0.02,Post Tnx Hold. 5.01%
7,"27 Jan, 2020",Disposal -  Market,Life Insurance Corporation of India,Other,Qty 41028291,Price 0,% Traded 2.06,Post Tnx Hold. 4.11%
8,"23 Aug, 2016",Acquisition -  Scheme Of Amalgamation,Holderind Investments Ltd (Revised),Promoter,Qty 584417928,Price 0,% Traded 10.86,Post Tnx Hold. 61.14%
9,"12 Aug, 2016",Acquisition -  Scheme Of Amalgamation,Holderind Investments Ltd,Promoter,Qty 584417928,Price 0,% Traded 10.86,Post Tnx Hold. 61.14%
10,"12 Aug, 2016",Acquisition -  Scheme Of Amalgamation,Holderind Investments Ltd & PACs,Promoter,Qty 584417928,Price 0,% Traded 10.86,Post Tnx Hold. 61.14%
11,"03 Sep, 2015",Disposal -  Market,"Genesis Asset Managers,LLP",Other,Qty 30741922,Price 0,% Traded 2.01,Post Tnx Hold. 3.38%
